date,price,last_update
2026-04-01,2.229,2026-04-01T12:05:33+02:00
2026-04-02,2.169,2026-04-02T12:06:54+02:00
2026-04-03,2.229,2026-04-03T12:06:55+02:00
2026-04-04,2.229,2026-04-04T12:06:56+02:00
2026-04-05,2.229,2026-04-05T12:05:46+02:00
2026-04-06,2.219,2026-04-06T14:30:41+02:00
2026-04-07,2.309,2026-04-07T12:07:20+02:00
2026-04-08,2.269,2026-04-08T12:07:18+02:00
2026-04-09,2.169,2026-04-09T12:07:09+02:00
2026-04-10,2.169,2026-04-10T12:07:24+02:00
2026-04-11,2.169,2026-04-11T12:07:23+02:00
2026-04-12,2.119,2026-04-12T10:30:45+02:00
2026-04-13,2.169,2026-04-13T12:05:20+02:00
2026-04-14,2.169,2026-04-14T12:05:39+02:00
2026-04-15,2.169,2026-04-15T12:07:37+02:00
2026-04-16,2.169,2026-04-16T12:05:26+02:00
2026-04-17,2.149,2026-04-17T12:07:10+02:00
2026-04-18,2.149,2026-04-18T12:05:52+02:00
