date,price,last_update
2026-04-01,2.019,2026-04-01T09:54:45+02:00
2026-04-02,2.069,2026-04-02T12:00:41+02:00
2026-04-03,2.069,2026-04-03T12:00:00+02:00
2026-04-04,2.069,2026-04-04T12:00:00+02:00
2026-04-05,2.069,2026-04-05T12:00:00+02:00
2026-04-06,2.069,2026-04-06T12:00:00+02:00
2026-04-08,2.119,2026-04-08T12:02:08+02:00
2026-04-09,2.119,2026-04-08T12:02:08+02:00
2026-04-10,2.119,2026-04-10T07:04:40+02:00
2026-04-11,2.119,2026-04-10T07:04:40+02:00
2026-04-13,2.099,2026-04-13T07:06:44+02:00
2026-04-14,2.099,2026-04-13T07:06:44+02:00
2026-04-15,2.079,2026-04-15T07:03:36+02:00
2026-04-16,2.069,2026-04-16T07:13:35+02:00
2026-04-17,2.059,2026-04-17T10:24:11+02:00
2026-04-18,2.039,2026-04-18T09:05:58+02:00
2026-04-19,2.029,2026-04-18T14:25:29+02:00
2026-04-21,2.029,2026-04-21T11:25:46+02:00
2026-04-22,2.029,2026-04-21T11:25:46+02:00
2026-05-01,1.999,2026-05-01T08:58:55+02:00
2026-05-02,1.979,2026-05-02T08:10:38+02:00
2026-05-03,1.979,2026-05-02T08:10:38+02:00
2026-05-05,1.939,2026-05-05T11:17:10+02:00
2026-05-06,1.939,2026-05-05T11:17:10+02:00
2026-05-08,1.869,2026-05-08T11:44:07+02:00
2026-05-09,1.869,2026-05-08T11:44:07+02:00
2026-05-15,1.869,2026-05-15T11:46:30+02:00
2026-05-16,1.869,2026-05-15T11:46:30+02:00
2026-05-27,1.869,2026-05-27T08:30:29+02:00
2026-05-28,1.869,2026-05-27T08:30:29+02:00
2026-05-29,1.869,2026-05-29T09:11:23+02:00
2026-05-30,1.869,2026-05-29T09:11:23+02:00
2026-06-05,1.849,2026-06-05T10:56:21+02:00
2026-06-06,1.849,2026-06-05T10:56:21+02:00
2026-06-08,1.849,2026-06-08T11:57:40+02:00
2026-06-09,1.849,2026-06-09T04:11:34+02:00
2026-06-10,1.849,2026-06-09T04:11:34+02:00
2026-06-11,1.819,2026-06-11T11:49:54+02:00
2026-06-12,1.819,2026-06-11T11:49:54+02:00
2026-06-14,1.819,2026-06-14T04:11:45+02:00
2026-06-15,1.799,2026-06-15T10:23:56+02:00
2026-06-16,1.799,2026-06-15T10:23:56+02:00
2026-06-17,1.779,2026-06-17T08:53:37+02:00
2026-06-18,1.749,2026-06-18T07:55:19+02:00
2026-06-19,1.749,2026-06-19T11:56:54+02:00
2026-06-20,1.749,2026-06-19T11:56:54+02:00
2026-06-24,1.769,2026-06-23T12:00:47+02:00
2026-06-27,1.829,2026-06-26T12:01:52+02:00
2026-06-29,1.829,2026-06-29T07:45:19+02:00
2026-06-30,1.829,2026-06-29T07:45:19+02:00
2026-07-02,1.959,2026-07-01T12:01:05+02:00
2026-07-04,1.959,2026-07-03T12:00:42+02:00
2026-07-11,1.979,2026-07-10T12:01:25+02:00
2026-07-14,1.999,2026-07-13T12:00:45+02:00
2026-07-16,2.019,2026-07-15T12:01:35+02:00
2026-07-18,2.019,2026-07-17T12:00:47+02:00
2026-07-22,2.059,2026-07-21T12:01:55+02:00
2026-07-26,2.059,2026-07-26T07:33:20+02:00
2026-07-27,2.059,2026-07-26T07:33:20+02:00
2026-08-13,2.069,2026-08-12T12:01:47+02:00
2026-08-15,2.089,2026-08-14T12:01:28+02:00
2026-08-20,2.109,2026-08-19T14:02:44+02:00
2026-08-26,2.069,2026-08-26T07:32:31+02:00
2026-08-27,2.049,2026-08-27T07:07:57+02:00
2026-08-28,2.049,2026-08-27T07:07:57+02:00
