date,price,last_update
2026-04-01,2.409,2026-04-01T12:02:27+02:00
2026-04-02,2.379,2026-04-02T12:03:51+02:00
2026-04-03,2.289,2026-04-03T12:00:00+02:00
2026-04-04,2.369,2026-04-04T12:03:49+02:00
2026-04-05,2.369,2026-04-05T12:00:00+02:00
2026-04-06,2.369,2026-04-06T12:00:00+02:00
2026-04-07,2.489,2026-04-07T12:02:15+02:00
2026-04-08,2.509,2026-04-08T12:04:13+02:00
2026-04-09,2.449,2026-04-09T12:01:58+02:00
2026-04-10,2.379,2026-04-10T12:02:20+02:00
2026-04-11,2.249,2026-04-11T11:12:32+02:00
2026-04-12,2.289,2026-04-12T12:04:23+02:00
2026-04-13,2.349,2026-04-13T12:02:16+02:00
2026-04-14,2.389,2026-04-14T12:02:34+02:00
2026-04-15,2.319,2026-04-15T12:03:32+02:00
2026-04-16,2.299,2026-04-16T12:03:25+02:00
2026-04-17,2.289,2026-04-17T12:02:00+02:00
2026-04-18,2.239,2026-04-18T12:03:50+02:00
2026-04-19,2.189,2026-04-18T12:58:40+02:00
2026-04-20,2.229,2026-04-20T12:03:51+02:00
2026-04-21,2.229,2026-04-21T12:02:22+02:00
2026-04-22,2.199,2026-04-22T12:05:33+02:00
