date,price,last_update
2026-04-01,2.050,2026-04-01T12:19:57+02:00
2026-04-02,2.079,2026-04-02T12:25:40+02:00
2026-04-03,2.159,2026-04-03T12:35:00+02:00
2026-04-04,2.189,2026-04-04T12:26:22+02:00
2026-04-05,2.189,2026-04-05T12:00:00+02:00
2026-04-06,2.189,2026-04-06T12:00:00+02:00
2026-04-07,2.189,2026-04-07T12:00:00+02:00
2026-04-08,2.139,2026-04-07T18:59:26+02:00
2026-04-09,2.079,2026-04-09T09:20:03+02:00
2026-04-10,2.079,2026-04-09T15:14:25+02:00
2026-04-11,2.079,2026-04-11T08:31:03+02:00
2026-04-12,2.069,2026-04-11T16:54:54+02:00
2026-04-14,2.099,2026-04-13T12:20:42+02:00
2026-04-15,2.059,2026-04-15T09:54:55+02:00
2026-04-16,2.039,2026-04-16T09:05:45+02:00
2026-04-17,2.039,2026-04-16T09:05:45+02:00
2026-04-18,2.089,2026-04-17T12:34:49+02:00
2026-04-19,2.079,2026-04-18T14:37:08+02:00
2026-04-21,2.019,2026-04-21T08:39:58+02:00
2026-04-22,2.019,2026-04-22T09:00:42+02:00
2026-04-23,2.019,2026-04-22T09:00:42+02:00
2026-04-24,2.039,2026-04-24T10:25:20+02:00
2026-04-25,2.069,2026-04-24T16:55:09+02:00
2026-04-26,2.079,2026-04-25T18:25:36+02:00
2026-04-27,2.059,2026-04-27T07:25:15+02:00
2026-04-28,2.059,2026-04-27T16:36:05+02:00
2026-04-29,2.059,2026-04-28T15:31:17+02:00
