date,price,last_update
2026-04-01,2.099,2026-04-01T12:00:00+02:00
2026-04-02,2.099,2026-04-02T12:00:00+02:00
2026-04-03,2.099,2026-04-03T12:00:00+02:00
2026-04-04,2.119,2026-04-04T05:05:56+02:00
2026-04-05,2.119,2026-04-05T12:00:00+02:00
2026-04-06,2.119,2026-04-06T12:00:00+02:00
2026-04-07,2.139,2026-04-07T12:00:00+02:00
2026-04-08,2.139,2026-04-07T05:03:21+02:00
2026-04-10,2.119,2026-04-10T05:02:43+02:00
2026-04-11,2.119,2026-04-10T05:02:43+02:00
2026-04-15,2.049,2026-04-15T05:02:23+02:00
2026-04-16,2.069,2026-04-16T05:02:22+02:00
2026-04-17,2.069,2026-04-16T05:02:22+02:00
2026-04-18,2.069,2026-04-18T05:02:15+02:00
2026-04-19,2.069,2026-04-18T05:02:15+02:00
2026-04-23,2.069,2026-04-23T05:02:53+02:00
2026-04-24,2.069,2026-04-24T05:02:30+02:00
2026-04-25,2.069,2026-04-24T05:02:30+02:00
2026-04-27,2.079,2026-04-27T05:02:52+02:00
2026-04-28,2.079,2026-04-27T05:02:52+02:00
2026-04-29,2.079,2026-04-29T05:01:47+02:00
2026-04-30,2.079,2026-04-29T05:01:47+02:00
2026-05-02,1.979,2026-05-02T05:02:46+02:00
2026-05-03,1.979,2026-05-02T05:02:46+02:00
2026-05-04,1.949,2026-05-04T05:03:10+02:00
2026-05-05,1.949,2026-05-04T05:03:10+02:00
2026-05-06,1.979,2026-05-06T05:03:30+02:00
2026-05-07,1.979,2026-05-06T05:03:30+02:00
2026-05-08,1.949,2026-05-08T05:02:45+02:00
2026-05-09,1.969,2026-05-09T05:02:48+02:00
2026-05-10,1.969,2026-05-09T05:02:48+02:00
