date,price,last_update
2026-04-06,2.619,2026-04-06T12:00:00+02:00
2026-04-11,2.559,2026-04-10T12:00:17+02:00
2026-04-15,2.559,2026-04-15T11:59:27+02:00
2026-04-16,2.559,2026-04-15T11:59:27+02:00
2026-04-17,2.559,2026-04-16T12:00:21+02:00
2026-04-22,2.549,2026-04-21T15:29:45+02:00
2026-04-24,2.549,2026-04-23T15:10:46+02:00
2026-04-29,2.629,2026-04-29T11:58:25+02:00
2026-04-30,2.629,2026-04-29T11:58:25+02:00
2026-05-01,2.459,2026-04-30T23:59:59+02:00
2026-05-07,2.489,2026-05-07T11:57:56+02:00
2026-05-08,2.489,2026-05-07T11:57:56+02:00
2026-05-22,2.509,2026-05-21T12:00:20+02:00
2026-06-04,2.509,2026-06-03T14:08:58+02:00
2026-06-08,2.509,2026-06-08T11:57:40+02:00
2026-06-09,2.509,2026-06-09T04:11:34+02:00
2026-06-10,2.509,2026-06-09T04:11:34+02:00
2026-06-11,2.509,2026-06-11T06:59:17+02:00
2026-06-12,2.429,2026-06-12T11:09:27+02:00
2026-06-13,2.429,2026-06-12T11:09:27+02:00
2026-06-14,2.429,2026-06-14T04:11:45+02:00
2026-06-15,2.429,2026-06-15T07:50:06+02:00
2026-06-16,2.429,2026-06-15T06:01:23+02:00
2026-06-17,2.429,2026-06-16T13:37:13+02:00
2026-06-23,2.379,2026-06-22T12:02:16+02:00
2026-06-29,2.379,2026-06-29T07:45:19+02:00
2026-06-30,2.469,2026-06-30T11:59:28+02:00
2026-07-01,2.509,2026-07-01T11:58:58+02:00
2026-07-02,2.529,2026-07-02T11:58:23+02:00
