date,price,last_update
2026-04-01,2.369,2026-04-01T12:02:27+02:00
2026-04-02,2.239,2026-04-02T12:00:00+02:00
2026-04-03,2.299,2026-04-03T11:59:47+02:00
2026-04-04,2.299,2026-04-04T12:00:00+02:00
2026-04-05,2.299,2026-04-05T12:00:00+02:00
2026-04-06,2.299,2026-04-06T12:00:00+02:00
2026-04-08,2.299,2026-04-08T12:00:00+02:00
2026-04-09,2.219,2026-04-09T08:41:20+02:00
2026-04-10,2.219,2026-04-09T13:56:12+02:00
2026-04-13,2.219,2026-04-13T09:25:13+02:00
2026-04-14,2.319,2026-04-14T12:00:30+02:00
2026-04-15,2.229,2026-04-15T09:29:22+02:00
