date,price,last_update
2026-04-01,2.089,2026-04-01T12:00:00+02:00
2026-04-02,2.089,2026-04-02T12:00:00+02:00
2026-04-03,2.109,2026-04-03T12:03:51+02:00
2026-04-04,2.109,2026-04-04T12:00:00+02:00
2026-04-05,2.109,2026-04-05T12:04:45+02:00
2026-04-06,2.109,2026-04-06T12:00:00+02:00
2026-04-07,2.159,2026-04-07T12:03:16+02:00
2026-04-08,2.159,2026-04-07T12:03:16+02:00
2026-04-09,2.159,2026-04-09T11:22:18+02:00
2026-04-10,2.159,2026-04-10T12:04:21+02:00
2026-04-11,2.159,2026-04-10T14:22:50+02:00
2026-04-13,2.129,2026-04-12T13:16:29+02:00
2026-04-14,2.129,2026-04-14T07:28:11+02:00
2026-04-15,2.129,2026-04-14T16:46:58+02:00
2026-04-16,2.129,2026-04-16T09:28:17+02:00
2026-04-17,2.129,2026-04-17T09:57:44+02:00
2026-04-18,2.129,2026-04-17T09:57:44+02:00
2026-04-21,2.129,2026-04-20T13:29:22+02:00
2026-05-01,1.979,2026-05-01T09:59:54+02:00
2026-05-02,2.049,2026-05-01T17:15:54+02:00
2026-05-04,2.079,2026-05-04T07:16:08+02:00
2026-05-05,2.089,2026-05-05T12:04:49+02:00
2026-05-06,2.039,2026-05-05T12:16:16+02:00
2026-05-08,2.029,2026-05-07T18:59:11+02:00
2026-05-11,2.019,2026-05-10T13:16:54+02:00
2026-05-13,2.009,2026-05-13T06:47:11+02:00
2026-05-14,2.009,2026-05-13T06:47:11+02:00
2026-05-15,2.009,2026-05-15T08:52:27+02:00
2026-05-16,2.009,2026-05-16T11:28:14+02:00
2026-05-17,2.009,2026-05-16T11:28:14+02:00
2026-05-21,2.009,2026-05-20T15:29:21+02:00
2026-05-22,1.989,2026-05-22T11:10:29+02:00
2026-05-23,1.989,2026-05-22T11:10:29+02:00
2026-05-28,1.979,2026-05-27T15:22:59+02:00
2026-06-01,1.979,2026-06-01T11:16:51+02:00
2026-06-02,1.939,2026-06-01T18:04:48+02:00
2026-06-04,1.959,2026-06-03T18:34:15+02:00
2026-06-08,1.959,2026-06-08T11:57:40+02:00
2026-06-09,1.909,2026-06-09T04:11:34+02:00
2026-06-10,1.909,2026-06-09T04:11:34+02:00
2026-06-11,1.909,2026-06-11T06:59:17+02:00
2026-06-12,1.899,2026-06-11T17:58:07+02:00
2026-06-14,1.889,2026-06-14T04:11:45+02:00
2026-06-15,1.889,2026-06-15T07:50:06+02:00
2026-06-16,1.869,2026-06-16T07:29:14+02:00
2026-06-17,1.869,2026-06-16T13:37:13+02:00
2026-06-18,1.869,2026-06-18T07:34:56+02:00
2026-06-19,1.869,2026-06-18T14:58:32+02:00
2026-06-20,1.869,2026-06-19T17:35:28+02:00
2026-06-29,1.869,2026-06-29T07:45:19+02:00
2026-06-30,1.869,2026-06-29T07:45:19+02:00
2026-07-01,2.219,2026-07-01T12:05:10+02:00
2026-07-02,2.069,2026-07-01T13:34:34+02:00
2026-07-07,2.039,2026-07-07T08:10:58+02:00
2026-07-08,2.039,2026-07-07T15:47:50+02:00
2026-07-10,2.079,2026-07-09T12:05:37+02:00
2026-07-17,2.079,2026-07-16T12:05:02+02:00
2026-07-21,2.129,2026-07-20T14:47:06+02:00
2026-07-26,2.129,2026-07-26T07:33:20+02:00
2026-07-27,2.129,2026-07-26T07:33:20+02:00
2026-08-05,2.049,2026-08-05T08:33:55+02:00
2026-08-06,2.049,2026-08-05T08:33:55+02:00
2026-08-09,2.029,2026-08-08T13:45:55+02:00
2026-08-13,2.139,2026-08-12T12:05:51+02:00
2026-08-16,2.139,2026-08-15T12:03:25+02:00
2026-08-20,2.149,2026-08-19T14:02:44+02:00
2026-08-26,2.149,2026-08-26T11:40:31+02:00
2026-08-27,2.149,2026-08-26T11:40:31+02:00
2026-08-28,2.149,2026-08-27T15:35:41+02:00
2026-08-29,2.149,2026-08-29T08:35:12+02:00
2026-08-30,2.149,2026-08-29T08:35:12+02:00
2026-09-03,2.149,2026-09-03T09:42:27+02:00
