date,price,last_update
2026-04-01,2.549,2026-04-01T12:07:36+02:00
2026-04-02,2.659,2026-04-02T12:09:58+02:00
2026-04-03,2.609,2026-04-03T12:06:55+02:00
2026-04-04,2.609,2026-04-04T12:09:58+02:00
2026-04-05,2.609,2026-04-05T12:07:49+02:00
2026-04-06,2.609,2026-04-06T12:06:59+02:00
2026-04-07,2.609,2026-04-07T12:07:20+02:00
2026-04-08,2.509,2026-04-07T12:52:15+02:00
2026-04-09,2.439,2026-04-09T12:07:09+02:00
2026-04-10,2.439,2026-04-09T15:07:19+02:00
2026-04-11,2.429,2026-04-10T15:07:38+02:00
2026-04-14,2.579,2026-04-14T12:07:41+02:00
2026-04-15,2.619,2026-04-15T12:07:37+02:00
2026-04-16,2.619,2026-04-16T12:07:29+02:00
2026-04-17,2.629,2026-04-17T12:07:10+02:00
2026-04-18,2.589,2026-04-18T12:07:53+02:00
2026-04-19,2.589,2026-04-19T12:07:56+02:00
2026-04-20,2.639,2026-04-20T12:06:54+02:00
2026-04-21,2.429,2026-04-20T15:06:48+02:00
