date,price,last_update
2026-04-01,2.249,2026-04-01T12:02:27+02:00
2026-04-02,2.279,2026-04-02T12:03:51+02:00
2026-04-03,2.139,2026-04-03T10:41:29+02:00
2026-04-04,2.299,2026-04-04T12:03:49+02:00
2026-04-05,2.299,2026-04-05T12:02:44+02:00
2026-04-06,2.299,2026-04-06T12:03:57+02:00
2026-04-07,2.299,2026-04-07T12:03:16+02:00
2026-04-08,2.299,2026-04-08T12:04:13+02:00
2026-04-09,2.259,2026-04-09T12:04:00+02:00
2026-04-10,2.259,2026-04-10T12:02:20+02:00
2026-04-11,2.229,2026-04-11T12:03:19+02:00
2026-04-12,2.229,2026-04-12T12:03:22+02:00
2026-04-13,2.229,2026-04-13T12:03:17+02:00
