date,price,last_update
2026-04-01,2.209,2026-04-01T12:16:50+02:00
2026-04-02,2.209,2026-04-02T12:00:00+02:00
2026-04-03,2.159,2026-04-03T12:00:00+02:00
2026-04-04,2.159,2026-04-04T12:00:00+02:00
2026-04-05,2.159,2026-04-05T12:00:00+02:00
2026-04-06,2.159,2026-04-06T12:00:00+02:00
2026-04-08,2.259,2026-04-08T12:15:28+02:00
2026-04-09,2.139,2026-04-09T04:37:16+02:00
2026-04-10,2.229,2026-04-10T12:13:29+02:00
2026-04-11,2.119,2026-04-11T07:35:12+02:00
2026-04-12,2.229,2026-04-11T12:51:03+02:00
2026-04-13,2.109,2026-04-13T03:06:50+02:00
2026-04-14,2.089,2026-04-14T04:57:18+02:00
2026-04-15,2.179,2026-04-15T12:14:45+02:00
2026-04-16,2.079,2026-04-16T07:00:21+02:00
2026-04-17,2.089,2026-04-17T04:52:13+02:00
2026-04-18,2.089,2026-04-17T16:29:05+02:00
2026-04-19,2.199,2026-04-18T12:17:02+02:00
