date,price,last_update
2026-04-01,2.389,2026-04-01T12:19:57+02:00
2026-04-02,2.249,2026-04-02T10:03:53+02:00
2026-04-03,2.419,2026-04-03T12:35:00+02:00
2026-04-04,2.479,2026-04-04T12:19:13+02:00
2026-04-05,2.469,2026-04-05T12:44:16+02:00
2026-04-06,2.469,2026-04-06T13:00:41+02:00
2026-04-07,2.469,2026-04-07T12:13:26+02:00
2026-04-08,2.469,2026-04-08T12:15:28+02:00
2026-04-09,2.299,2026-04-09T10:50:42+02:00
2026-04-10,2.369,2026-04-10T12:14:31+02:00
2026-04-11,2.359,2026-04-11T12:10:25+02:00
2026-04-12,2.249,2026-04-12T06:00:37+02:00
2026-04-13,2.219,2026-04-13T09:55:47+02:00
2026-04-14,2.279,2026-04-13T21:08:31+02:00
2026-04-15,2.269,2026-04-15T12:09:38+02:00
2026-04-16,2.289,2026-04-16T12:12:34+02:00
2026-04-17,2.139,2026-04-17T12:00:59+02:00
2026-04-18,2.119,2026-04-18T11:44:37+02:00
2026-04-19,2.239,2026-04-19T12:10:57+02:00
2026-04-20,2.239,2026-04-20T12:10:58+02:00
