date,price,last_update
2026-04-01,2.419,2026-04-01T12:10:38+02:00
2026-04-02,2.519,2026-04-02T12:09:58+02:00
2026-04-03,2.449,2026-04-03T12:11:02+02:00
2026-04-04,2.459,2026-04-04T12:09:58+02:00
2026-04-05,2.469,2026-04-05T12:10:51+02:00
2026-04-06,2.469,2026-04-06T12:10:03+02:00
2026-04-07,2.469,2026-04-07T12:07:20+02:00
2026-04-08,2.409,2026-04-08T12:00:00+02:00
2026-04-09,2.329,2026-04-09T10:07:55+02:00
2026-04-10,2.269,2026-04-10T12:10:27+02:00
2026-04-11,2.259,2026-04-11T12:10:25+02:00
2026-04-12,2.259,2026-04-12T12:13:30+02:00
2026-04-13,2.279,2026-04-13T12:10:26+02:00
2026-04-14,2.249,2026-04-14T12:10:45+02:00
2026-04-15,2.189,2026-04-15T09:37:32+02:00
2026-04-16,2.209,2026-04-16T12:07:29+02:00
2026-04-17,2.189,2026-04-17T12:10:14+02:00
2026-04-18,2.179,2026-04-18T12:07:53+02:00
2026-04-19,2.179,2026-04-19T12:10:57+02:00
2026-04-20,2.139,2026-04-20T12:09:57+02:00
2026-04-21,2.089,2026-04-21T00:04:05+02:00
2026-04-22,2.189,2026-04-22T12:13:39+02:00
2026-04-23,2.199,2026-04-23T12:13:45+02:00
2026-04-24,2.279,2026-04-24T12:08:49+02:00
2026-04-25,2.229,2026-04-25T12:08:23+02:00
2026-04-26,2.239,2026-04-26T12:06:58+02:00
