date,price,last_update
2026-04-01,2.239,2026-04-01T11:25:36+02:00
2026-04-02,2.359,2026-04-02T12:08:56+02:00
2026-04-03,2.439,2026-04-03T12:06:55+02:00
2026-04-04,2.439,2026-04-04T12:08:57+02:00
2026-04-05,2.449,2026-04-05T12:07:49+02:00
2026-04-06,2.399,2026-04-06T12:06:59+02:00
2026-04-07,2.409,2026-04-07T12:07:20+02:00
2026-04-08,2.479,2026-04-08T12:07:18+02:00
2026-04-09,2.339,2026-04-09T12:07:09+02:00
2026-04-10,2.339,2026-04-10T12:07:24+02:00
2026-04-11,2.329,2026-04-11T12:07:23+02:00
2026-04-12,2.329,2026-04-12T12:07:25+02:00
2026-04-13,2.189,2026-04-13T08:54:35+02:00
