date,price,last_update
2026-04-01,2.279,2026-04-01T11:56:19+02:00
2026-04-02,2.299,2026-04-02T12:01:46+02:00
2026-04-03,2.319,2026-04-03T11:54:42+02:00
2026-04-04,2.319,2026-04-04T12:00:00+02:00
2026-04-05,2.319,2026-04-05T12:00:00+02:00
2026-04-06,2.339,2026-04-06T12:00:00+02:00
2026-04-07,2.389,2026-04-07T12:00:00+02:00
2026-04-08,2.439,2026-04-08T12:00:00+02:00
2026-04-09,2.379,2026-04-09T09:03:42+02:00
2026-04-10,2.299,2026-04-10T06:41:15+02:00
2026-04-11,2.299,2026-04-10T06:41:15+02:00
2026-04-13,2.269,2026-04-12T12:05:23+02:00
2026-04-14,2.249,2026-04-14T08:22:11+02:00
2026-04-15,2.229,2026-04-15T11:43:06+02:00
2026-04-16,2.189,2026-04-16T10:22:16+02:00
2026-04-17,2.169,2026-04-17T08:45:24+02:00
2026-04-18,2.169,2026-04-17T08:45:24+02:00
2026-04-19,2.149,2026-04-19T09:06:05+02:00
2026-04-20,2.149,2026-04-19T09:06:05+02:00
2026-04-23,2.129,2026-04-23T09:20:56+02:00
2026-04-24,2.129,2026-04-23T09:20:56+02:00
2026-04-27,2.149,2026-04-27T11:58:41+02:00
2026-04-28,2.149,2026-04-27T11:58:41+02:00
2026-05-01,1.989,2026-05-01T07:58:54+02:00
2026-05-02,2.019,2026-05-02T08:43:31+02:00
2026-05-03,2.019,2026-05-02T08:43:31+02:00
2026-05-09,1.999,2026-05-09T10:15:25+02:00
2026-05-10,1.999,2026-05-09T10:15:25+02:00
2026-05-14,1.979,2026-05-14T08:37:06+02:00
2026-05-15,1.959,2026-05-15T07:26:10+02:00
2026-05-16,1.939,2026-05-16T10:09:02+02:00
