date,price,last_update
2026-04-03,2.099,2026-04-03T12:00:00+02:00
2026-04-04,2.139,2026-04-04T12:00:46+02:00
2026-04-05,2.139,2026-04-05T12:00:00+02:00
2026-04-06,2.139,2026-04-06T12:00:00+02:00
2026-04-07,2.189,2026-04-07T12:02:15+02:00
2026-04-08,2.139,2026-04-08T12:00:00+02:00
2026-04-09,2.099,2026-04-08T15:24:50+02:00
2026-04-10,2.069,2026-04-10T10:21:30+02:00
2026-04-11,2.049,2026-04-10T14:35:01+02:00
2026-04-15,2.019,2026-04-14T14:45:06+02:00
2026-04-16,2.019,2026-04-15T15:40:59+02:00
2026-04-20,2.019,2026-04-20T11:46:36+02:00
2026-04-21,2.019,2026-04-20T11:46:36+02:00
2026-04-22,2.019,2026-04-22T12:00:29+02:00
2026-04-23,2.019,2026-04-22T12:00:29+02:00
2026-04-25,2.039,2026-04-24T12:01:42+02:00
2026-04-28,2.099,2026-04-27T12:01:45+02:00
2026-04-30,2.099,2026-04-30T11:59:29+02:00
2026-05-01,1.929,2026-05-01T00:03:05+02:00
2026-05-02,1.959,2026-05-02T12:01:14+02:00
2026-05-03,1.959,2026-05-02T12:01:14+02:00
2026-05-07,1.929,2026-05-07T11:03:50+02:00
2026-05-08,1.929,2026-05-07T11:03:50+02:00
2026-05-13,1.869,2026-05-13T09:00:23+02:00
2026-05-14,1.869,2026-05-13T09:00:23+02:00
2026-05-16,1.889,2026-05-15T12:01:44+02:00
2026-05-21,1.909,2026-05-21T12:02:22+02:00
2026-05-22,1.869,2026-05-21T15:31:25+02:00
2026-05-27,1.839,2026-05-26T15:17:29+02:00
2026-05-28,1.839,2026-05-28T08:30:45+02:00
2026-05-29,1.839,2026-05-28T08:30:45+02:00
2026-06-02,1.859,2026-06-01T12:02:37+02:00
2026-06-04,1.889,2026-06-03T12:02:51+02:00
2026-06-06,1.839,2026-06-05T14:42:00+02:00
2026-06-08,1.859,2026-06-08T12:00:44+02:00
2026-06-09,1.829,2026-06-09T04:11:34+02:00
2026-06-10,1.829,2026-06-09T04:11:34+02:00
2026-06-11,1.819,2026-06-11T06:59:17+02:00
2026-06-12,1.819,2026-06-11T06:59:17+02:00
2026-06-13,1.799,2026-06-12T15:23:39+02:00
2026-06-14,1.799,2026-06-14T04:11:45+02:00
2026-06-15,1.799,2026-06-15T07:50:06+02:00
2026-06-16,1.739,2026-06-16T08:58:42+02:00
2026-06-17,1.739,2026-06-16T13:37:13+02:00
2026-06-19,1.719,2026-06-18T17:32:01+02:00
2026-06-27,1.769,2026-06-26T12:01:52+02:00
2026-06-29,1.769,2026-06-29T07:45:19+02:00
2026-06-30,1.939,2026-06-30T12:00:29+02:00
2026-07-01,1.939,2026-06-30T12:00:29+02:00
2026-07-15,2.019,2026-07-14T12:01:17+02:00
2026-07-18,2.069,2026-07-17T12:00:47+02:00
2026-07-22,2.069,2026-07-22T11:19:32+02:00
2026-07-23,2.069,2026-07-22T11:19:32+02:00
2026-07-26,2.069,2026-07-26T07:33:20+02:00
