date,price,last_update
2026-04-01,2.089,2026-04-01T12:00:00+02:00
2026-04-02,2.169,2026-04-02T12:03:51+02:00
2026-04-03,2.209,2026-04-03T12:07:56+02:00
2026-04-04,2.209,2026-04-04T12:00:00+02:00
2026-04-05,2.209,2026-04-05T12:00:00+02:00
2026-04-06,2.209,2026-04-06T12:00:00+02:00
2026-04-08,2.139,2026-04-08T12:00:00+02:00
2026-04-09,2.079,2026-04-09T08:40:18+02:00
2026-04-10,2.079,2026-04-09T08:40:18+02:00
2026-04-14,2.119,2026-04-13T13:58:55+02:00
2026-04-15,2.039,2026-04-15T08:44:36+02:00
2026-04-16,2.039,2026-04-15T08:44:36+02:00
2026-04-18,2.039,2026-04-17T12:51:07+02:00
2026-04-20,2.009,2026-04-20T07:16:38+02:00
2026-04-21,2.009,2026-04-20T07:16:38+02:00
2026-04-22,2.029,2026-04-22T11:59:28+02:00
2026-04-23,2.029,2026-04-22T11:59:28+02:00
2026-04-25,2.089,2026-04-24T12:04:44+02:00
2026-04-26,2.089,2026-04-25T12:00:14+02:00
2026-04-30,2.079,2026-04-29T13:45:09+02:00
2026-05-01,2.029,2026-05-01T09:44:39+02:00
2026-05-02,1.979,2026-05-02T10:54:16+02:00
2026-05-03,1.979,2026-05-02T10:54:16+02:00
2026-05-05,1.979,2026-05-05T08:42:55+02:00
2026-05-06,1.979,2026-05-05T08:42:55+02:00
2026-05-07,1.979,2026-05-06T14:08:11+02:00
2026-05-09,1.949,2026-05-09T12:00:55+02:00
2026-05-10,1.949,2026-05-09T12:00:55+02:00
2026-05-12,1.969,2026-05-12T11:59:20+02:00
2026-05-13,1.969,2026-05-12T11:59:20+02:00
2026-05-14,1.969,2026-05-13T12:02:30+02:00
2026-05-17,1.989,2026-05-16T12:01:41+02:00
2026-05-21,2.009,2026-05-20T12:03:13+02:00
2026-05-23,1.969,2026-05-22T20:48:27+02:00
2026-05-27,1.939,2026-05-26T20:18:02+02:00
2026-05-30,1.859,2026-05-30T08:40:23+02:00
2026-05-31,1.859,2026-05-30T08:40:23+02:00
2026-06-03,1.839,2026-06-02T20:26:51+02:00
2026-06-04,1.839,2026-06-03T12:03:51+02:00
2026-06-07,1.849,2026-06-06T12:02:50+02:00
2026-06-08,1.849,2026-06-08T11:57:40+02:00
2026-06-09,1.869,2026-06-09T12:02:59+02:00
2026-06-10,1.819,2026-06-10T06:57:37+02:00
2026-06-11,1.819,2026-06-11T06:59:17+02:00
2026-06-12,1.819,2026-06-11T06:59:17+02:00
2026-06-13,1.799,2026-06-13T08:12:27+02:00
2026-06-14,1.799,2026-06-14T04:11:45+02:00
2026-06-15,1.799,2026-06-15T07:50:06+02:00
2026-06-16,1.799,2026-06-15T06:01:23+02:00
2026-06-17,1.779,2026-06-17T07:54:38+02:00
2026-06-18,1.779,2026-06-17T07:54:38+02:00
2026-06-21,1.789,2026-06-20T12:02:53+02:00
2026-06-25,1.799,2026-06-24T12:00:34+02:00
2026-06-28,1.809,2026-06-27T12:03:31+02:00
2026-06-29,1.859,2026-06-29T12:01:49+02:00
2026-06-30,1.899,2026-06-30T12:02:31+02:00
2026-07-01,1.919,2026-07-01T12:02:07+02:00
2026-07-02,1.959,2026-07-02T12:03:28+02:00
2026-07-03,1.989,2026-07-03T12:02:43+02:00
2026-07-04,2.009,2026-07-04T12:01:57+02:00
2026-07-05,2.009,2026-07-04T12:01:57+02:00
2026-07-09,2.019,2026-07-08T12:02:59+02:00
2026-07-11,2.029,2026-07-11T10:37:43+02:00
2026-07-12,2.029,2026-07-11T10:37:43+02:00
2026-07-15,2.129,2026-07-15T12:02:36+02:00
2026-07-16,2.129,2026-07-15T12:02:36+02:00
2026-07-19,2.139,2026-07-18T12:04:51+02:00
2026-07-22,2.159,2026-07-22T08:20:41+02:00
2026-07-23,2.159,2026-07-22T08:20:41+02:00
2026-07-25,2.179,2026-07-25T08:42:58+02:00
2026-07-26,2.179,2026-07-26T07:33:20+02:00
2026-07-27,2.179,2026-07-26T07:33:20+02:00
