date,price,last_update
2026-04-01,2.249,2026-04-01T12:02:27+02:00
2026-04-02,2.259,2026-04-02T12:01:46+02:00
2026-04-03,2.299,2026-04-03T12:01:49+02:00
2026-04-04,2.299,2026-04-04T12:00:46+02:00
2026-04-05,2.299,2026-04-05T12:01:43+02:00
2026-04-06,2.299,2026-04-06T12:00:55+02:00
2026-04-07,2.299,2026-04-07T12:01:14+02:00
2026-04-08,2.259,2026-04-08T12:01:04+02:00
2026-04-09,2.249,2026-04-09T12:01:58+02:00
2026-04-10,2.249,2026-04-10T12:01:19+02:00
2026-04-11,2.229,2026-04-11T12:00:15+02:00
2026-04-12,2.229,2026-04-12T12:01:19+02:00
2026-04-13,2.259,2026-04-13T12:02:16+02:00
2026-04-14,2.239,2026-04-14T12:01:33+02:00
2026-04-15,2.229,2026-04-15T12:02:30+02:00
2026-04-16,2.229,2026-04-16T12:01:22+02:00
2026-04-17,2.219,2026-04-17T12:00:59+02:00
2026-04-18,2.179,2026-04-18T12:00:48+02:00
2026-04-19,2.179,2026-04-19T12:00:50+02:00
2026-04-20,2.199,2026-04-20T12:00:49+02:00
2026-04-21,2.199,2026-04-21T12:01:21+02:00
2026-04-22,2.219,2026-04-22T12:01:30+02:00
2026-04-23,2.239,2026-04-23T12:01:36+02:00
2026-04-24,2.259,2026-04-24T12:00:42+02:00
2026-04-25,2.259,2026-04-25T12:02:19+02:00
2026-04-26,2.259,2026-04-26T12:00:53+02:00
2026-04-27,2.159,2026-04-26T20:20:08+02:00
2026-06-08,2.159,2026-06-08T11:57:40+02:00
2026-06-09,2.159,2026-06-09T04:11:34+02:00
2026-06-10,2.159,2026-06-09T04:11:34+02:00
2026-06-11,2.159,2026-06-11T06:59:17+02:00
2026-06-12,2.159,2026-06-11T06:59:17+02:00
2026-06-14,2.159,2026-06-14T04:11:45+02:00
2026-06-15,2.159,2026-06-15T07:50:06+02:00
2026-06-17,2.159,2026-06-17T06:18:14+02:00
2026-06-18,2.159,2026-06-17T06:18:14+02:00
2026-06-20,2.069,2026-06-20T12:00:51+02:00
2026-06-21,2.069,2026-06-21T12:01:08+02:00
2026-06-22,2.079,2026-06-22T12:01:15+02:00
2026-06-23,2.069,2026-06-23T12:01:49+02:00
2026-06-24,1.859,2026-06-24T06:31:48+02:00
2026-06-25,2.049,2026-06-25T12:01:17+02:00
2026-06-26,2.059,2026-06-26T12:01:52+02:00
2026-06-27,2.059,2026-06-27T12:01:30+02:00
2026-06-28,2.059,2026-06-28T12:01:38+02:00
2026-06-29,2.109,2026-06-29T12:00:41+02:00
2026-06-30,2.139,2026-06-30T12:02:31+02:00
2026-07-01,2.189,2026-07-01T12:01:05+02:00
