date,price,last_update
2026-04-01,2.299,2026-04-01T12:11:41+02:00
2026-04-02,2.299,2026-04-02T12:11:59+02:00
2026-04-03,2.299,2026-04-03T12:11:02+02:00
2026-04-04,2.299,2026-04-04T12:12:05+02:00
2026-04-05,2.259,2026-04-05T12:10:51+02:00
2026-04-06,2.259,2026-04-06T12:11:04+02:00
2026-04-07,2.309,2026-04-07T12:16:29+02:00
2026-04-08,2.309,2026-04-08T12:16:29+02:00
2026-04-09,2.069,2026-04-09T11:05:56+02:00
2026-04-10,2.059,2026-04-10T09:45:46+02:00
2026-04-11,2.039,2026-04-11T11:06:27+02:00
2026-04-12,2.129,2026-04-12T12:11:29+02:00
2026-04-13,2.109,2026-04-13T12:10:26+02:00
2026-04-14,2.109,2026-04-14T12:10:45+02:00
2026-04-15,2.029,2026-04-15T11:06:25+02:00
2026-04-16,2.009,2026-04-16T11:36:50+02:00
2026-04-17,2.109,2026-04-17T12:11:15+02:00
2026-04-18,1.989,2026-04-18T09:35:30+02:00
2026-04-19,2.099,2026-04-19T12:10:57+02:00
2026-04-20,1.969,2026-04-20T09:26:03+02:00
2026-04-21,1.989,2026-04-21T09:26:42+02:00
2026-04-22,2.069,2026-04-22T12:11:38+02:00
2026-04-23,2.009,2026-04-23T11:37:08+02:00
2026-04-24,2.039,2026-04-24T11:36:23+02:00
2026-04-25,2.049,2026-04-24T18:07:17+02:00
2026-04-29,2.069,2026-04-29T12:10:37+02:00
2026-04-30,2.069,2026-04-30T12:11:39+02:00
2026-05-01,1.999,2026-05-01T00:36:32+02:00
2026-05-02,1.919,2026-05-01T13:15:54+02:00
2026-05-03,1.919,2026-05-02T12:12:04+02:00
2026-05-04,1.979,2026-05-04T12:11:10+02:00
2026-05-05,1.979,2026-05-05T12:10:59+02:00
2026-05-06,1.969,2026-05-06T07:41:32+02:00
2026-05-07,1.889,2026-05-07T10:17:03+02:00
2026-05-08,1.879,2026-05-08T10:56:14+02:00
