date,price,last_update
2026-04-01,2.054,2026-04-01T12:05:33+02:00
2026-04-02,2.074,2026-04-02T12:04:53+02:00
2026-04-03,2.074,2026-04-03T12:00:00+02:00
2026-04-04,2.084,2026-04-04T09:55:15+02:00
2026-04-05,2.084,2026-04-05T12:00:00+02:00
2026-04-06,2.084,2026-04-06T12:00:00+02:00
2026-04-07,2.134,2026-04-07T12:05:17+02:00
2026-04-08,2.134,2026-04-07T12:05:17+02:00
2026-04-09,2.084,2026-04-09T10:25:17+02:00
2026-04-10,2.084,2026-04-09T10:25:17+02:00
2026-04-11,2.084,2026-04-11T08:31:03+02:00
2026-04-12,2.084,2026-04-11T08:31:03+02:00
2026-04-13,2.084,2026-04-12T17:30:36+02:00
2026-04-15,2.044,2026-04-14T16:15:23+02:00
2026-04-18,2.044,2026-04-17T17:00:40+02:00
2026-04-20,2.054,2026-04-20T12:04:53+02:00
