date,price,last_update
2026-04-01,2.204,2026-04-01T12:02:27+02:00
2026-04-02,2.184,2026-04-02T11:59:37+02:00
2026-04-03,2.204,2026-04-03T12:02:50+02:00
2026-04-04,2.264,2026-04-04T12:02:49+02:00
2026-04-05,2.264,2026-04-05T12:07:49+02:00
2026-04-06,2.264,2026-04-06T12:08:00+02:00
2026-04-07,2.174,2026-04-07T12:08:20+02:00
2026-04-08,2.154,2026-04-08T12:07:18+02:00
2026-04-09,2.084,2026-04-09T12:07:09+02:00
2026-04-10,2.094,2026-04-10T12:10:27+02:00
2026-04-11,2.094,2026-04-11T12:10:25+02:00
2026-04-12,2.124,2026-04-12T12:08:26+02:00
2026-04-13,2.134,2026-04-13T12:10:26+02:00
2026-04-14,2.224,2026-04-14T12:07:41+02:00
2026-04-15,2.214,2026-04-15T12:09:38+02:00
2026-04-16,2.204,2026-04-16T12:10:32+02:00
2026-04-17,2.204,2026-04-17T12:07:10+02:00
2026-04-18,2.204,2026-04-18T12:09:55+02:00
2026-04-19,2.164,2026-04-19T12:10:57+02:00
2026-04-20,2.134,2026-04-20T12:09:57+02:00
