date,price,last_update
2026-04-01,2.319,2026-04-01T12:02:27+02:00
2026-04-02,2.309,2026-04-02T12:03:51+02:00
2026-04-03,2.329,2026-04-03T12:03:51+02:00
2026-04-04,2.389,2026-04-04T09:22:34+02:00
2026-04-05,2.389,2026-04-05T12:02:44+02:00
2026-04-06,2.469,2026-04-06T12:00:55+02:00
2026-04-07,2.429,2026-04-07T12:03:16+02:00
2026-04-08,2.529,2026-04-08T12:11:24+02:00
2026-04-09,2.349,2026-04-09T11:24:19+02:00
2026-04-10,2.409,2026-04-10T12:10:27+02:00
2026-04-11,2.419,2026-04-11T12:10:25+02:00
2026-04-12,2.389,2026-04-12T12:07:25+02:00
2026-04-13,2.399,2026-04-13T12:10:26+02:00
2026-04-14,2.379,2026-04-14T12:07:41+02:00
2026-04-15,2.309,2026-04-15T12:08:37+02:00
2026-04-16,2.329,2026-04-16T12:07:29+02:00
2026-04-17,2.309,2026-04-17T12:07:10+02:00
2026-04-18,2.289,2026-04-18T12:08:54+02:00
2026-04-19,2.269,2026-04-19T12:07:56+02:00
2026-04-20,2.229,2026-04-20T12:08:56+02:00
