date,price,last_update
2026-04-01,2.279,2026-04-01T12:15:46+02:00
2026-04-02,2.459,2026-04-02T12:37:12+02:00
2026-04-03,2.449,2026-04-03T12:06:55+02:00
2026-04-04,2.459,2026-04-04T12:06:56+02:00
2026-04-05,2.479,2026-04-05T12:07:49+02:00
2026-04-06,2.469,2026-04-06T12:06:59+02:00
2026-04-07,2.469,2026-04-07T12:07:20+02:00
2026-04-08,2.419,2026-04-08T12:00:00+02:00
2026-04-09,2.299,2026-04-09T11:06:57+02:00
2026-04-10,2.269,2026-04-10T09:11:07+02:00
2026-04-11,2.259,2026-04-11T12:07:23+02:00
2026-04-12,2.259,2026-04-12T12:10:28+02:00
2026-04-13,2.279,2026-04-13T12:07:23+02:00
2026-04-14,2.249,2026-04-14T12:07:41+02:00
2026-04-15,2.229,2026-04-15T11:25:49+02:00
2026-04-16,2.229,2026-04-16T10:54:54+02:00
2026-04-17,2.229,2026-04-16T23:37:24+02:00
2026-04-18,2.209,2026-04-18T11:07:57+02:00
2026-04-19,2.199,2026-04-18T23:38:30+02:00
2026-04-20,2.189,2026-04-20T07:55:19+02:00
2026-04-21,2.149,2026-04-21T07:07:13+02:00
2026-04-22,2.189,2026-04-22T12:13:39+02:00
