date,price,last_update
2026-04-01,2.184,2026-04-01T12:02:27+02:00
2026-04-02,2.164,2026-04-02T11:57:34+02:00
2026-04-03,2.184,2026-04-03T12:02:50+02:00
2026-04-04,2.264,2026-04-04T12:02:49+02:00
2026-04-05,2.264,2026-04-05T12:09:50+02:00
2026-04-06,2.264,2026-04-06T12:06:59+02:00
2026-04-07,2.224,2026-04-07T12:08:20+02:00
2026-04-08,2.234,2026-04-08T12:05:15+02:00
2026-04-09,2.154,2026-04-09T12:05:03+02:00
2026-04-10,2.134,2026-04-10T12:07:24+02:00
2026-04-11,2.144,2026-04-11T12:07:23+02:00
2026-04-12,2.144,2026-04-12T12:07:25+02:00
2026-04-13,2.144,2026-04-13T12:08:24+02:00
2026-04-14,2.174,2026-04-14T12:05:39+02:00
2026-04-15,2.134,2026-04-15T12:08:37+02:00
2026-04-16,2.104,2026-04-16T12:09:30+02:00
2026-04-17,2.094,2026-04-17T12:05:07+02:00
2026-04-18,2.084,2026-04-18T12:08:54+02:00
