date,price,last_update
2026-04-01,2.449,2026-04-01T12:12:43+02:00
2026-04-02,2.479,2026-04-02T12:06:54+02:00
2026-04-03,2.409,2026-04-03T12:00:00+02:00
2026-04-04,2.419,2026-04-04T12:09:58+02:00
2026-04-05,2.459,2026-04-05T12:07:49+02:00
2026-04-06,2.459,2026-04-06T12:00:00+02:00
2026-04-07,2.459,2026-04-07T12:10:22+02:00
2026-04-08,2.419,2026-04-08T12:00:00+02:00
2026-04-09,2.399,2026-04-09T11:28:23+02:00
2026-04-10,2.369,2026-04-10T11:06:23+02:00
2026-04-11,2.359,2026-04-11T10:13:35+02:00
2026-04-12,2.339,2026-04-12T10:13:30+02:00
2026-04-13,2.339,2026-04-13T09:10:55+02:00
2026-04-14,2.339,2026-04-14T10:12:16+02:00
2026-04-15,2.249,2026-04-15T11:58:27+02:00
2026-04-16,2.239,2026-04-16T10:13:05+02:00
2026-04-17,2.239,2026-04-17T10:12:56+02:00
2026-04-18,2.209,2026-04-18T10:13:08+02:00
2026-04-19,2.189,2026-04-19T08:11:17+02:00
2026-04-20,2.169,2026-04-20T00:05:30+02:00
2026-04-21,2.119,2026-04-21T11:39:56+02:00
2026-04-22,2.169,2026-04-22T12:07:35+02:00
2026-04-23,2.179,2026-04-23T12:07:41+02:00
2026-04-24,2.239,2026-04-24T12:08:49+02:00
