date,price,last_update
2026-04-01,2.089,2026-04-01T12:00:00+02:00
2026-04-02,2.489,2026-04-02T10:34:57+02:00
2026-04-03,2.249,2026-04-03T10:37:26+02:00
2026-04-04,2.299,2026-04-04T10:37:16+02:00
2026-04-05,2.309,2026-04-05T10:35:39+02:00
2026-04-06,2.299,2026-04-06T10:36:47+02:00
2026-04-07,2.309,2026-04-07T10:35:41+02:00
2026-04-08,2.289,2026-04-08T10:36:51+02:00
2026-04-09,2.209,2026-04-09T10:33:24+02:00
2026-04-10,2.199,2026-04-10T10:34:43+02:00
2026-04-11,2.179,2026-04-11T10:32:55+02:00
2026-04-12,2.179,2026-04-12T10:36:50+02:00
2026-04-13,2.179,2026-04-13T10:36:27+02:00
2026-04-14,2.199,2026-04-14T10:36:43+02:00
2026-04-15,2.189,2026-04-15T10:35:47+02:00
2026-04-16,2.149,2026-04-16T10:35:29+02:00
2026-04-17,2.169,2026-04-17T10:33:18+02:00
2026-04-18,2.139,2026-04-18T10:33:26+02:00
2026-04-19,2.139,2026-04-19T10:35:35+02:00
2026-04-20,2.149,2026-04-20T10:33:18+02:00
2026-04-21,2.139,2026-04-21T10:34:51+02:00
2026-04-22,2.169,2026-04-22T10:32:11+02:00
2026-04-23,2.169,2026-04-23T10:32:59+02:00
2026-04-24,2.208,2026-04-24T12:01:42+02:00
2026-04-25,2.199,2026-04-25T12:04:20+02:00
2026-04-26,2.209,2026-04-26T12:04:56+02:00
2026-04-27,2.209,2026-04-27T12:05:48+02:00
2026-04-28,2.219,2026-04-28T12:05:02+02:00
2026-04-29,2.219,2026-04-29T12:05:33+02:00
2026-04-30,2.239,2026-04-30T12:02:32+02:00
2026-05-01,2.169,2026-05-01T12:07:29+02:00
