date,price,last_update
2026-04-01,2.129,2026-04-01T12:00:00+02:00
2026-04-02,2.169,2026-04-02T12:21:32+02:00
2026-04-03,2.179,2026-04-03T12:24:35+02:00
2026-04-04,2.179,2026-04-04T12:00:00+02:00
2026-04-05,2.179,2026-04-05T12:00:00+02:00
2026-04-06,2.179,2026-04-06T12:00:00+02:00
2026-04-07,2.219,2026-04-07T12:04:17+02:00
2026-04-08,2.169,2026-04-08T12:00:00+02:00
2026-04-09,2.169,2026-04-09T08:08:45+02:00
2026-04-10,2.139,2026-04-09T17:48:18+02:00
2026-04-14,2.099,2026-04-14T08:02:50+02:00
2026-04-15,2.099,2026-04-15T08:24:17+02:00
2026-04-16,2.099,2026-04-16T08:03:32+02:00
2026-04-17,2.099,2026-04-16T08:03:32+02:00
2026-04-18,2.069,2026-04-18T09:51:47+02:00
2026-04-19,2.069,2026-04-18T09:51:47+02:00
2026-04-20,2.069,2026-04-20T12:06:54+02:00
2026-04-21,2.039,2026-04-21T08:46:05+02:00
2026-04-22,2.039,2026-04-21T08:46:05+02:00
2026-04-24,2.059,2026-04-23T17:32:54+02:00
2026-04-25,2.129,2026-04-25T12:08:23+02:00
2026-04-26,2.119,2026-04-26T07:14:53+02:00
2026-04-27,2.119,2026-04-26T07:14:53+02:00
2026-04-28,2.149,2026-04-28T12:00:58+02:00
2026-04-29,2.089,2026-04-29T07:34:02+02:00
2026-04-30,2.089,2026-04-29T13:13:39+02:00
2026-05-01,2.039,2026-05-01T09:39:19+02:00
2026-05-02,2.059,2026-05-01T12:18:15+02:00
2026-05-03,2.059,2026-05-02T12:12:04+02:00
2026-05-04,2.059,2026-05-04T07:32:45+02:00
2026-05-05,2.009,2026-05-05T06:13:54+02:00
2026-05-06,2.039,2026-05-05T14:42:43+02:00
2026-05-07,2.029,2026-05-06T15:21:30+02:00
2026-05-08,2.009,2026-05-07T14:01:58+02:00
2026-05-12,2.019,2026-05-11T16:38:49+02:00
2026-05-16,2.009,2026-05-16T08:38:38+02:00
2026-05-17,2.009,2026-05-16T08:38:38+02:00
2026-05-19,2.049,2026-05-19T07:51:04+02:00
2026-05-20,2.049,2026-05-19T07:51:04+02:00
2026-05-21,2.029,2026-05-20T17:15:49+02:00
2026-05-23,2.029,2026-05-23T08:01:23+02:00
2026-05-24,2.029,2026-05-23T08:01:23+02:00
2026-05-27,2.009,2026-05-27T08:50:50+02:00
2026-05-28,2.009,2026-05-27T08:50:50+02:00
2026-05-30,1.939,2026-05-30T09:12:52+02:00
2026-05-31,1.939,2026-05-30T09:12:52+02:00
2026-06-04,1.979,2026-06-04T12:07:23+02:00
