date,price,last_update
2026-04-01,2.249,2026-04-01T12:05:33+02:00
2026-04-02,2.269,2026-04-02T12:04:53+02:00
2026-04-03,2.169,2026-04-03T12:15:18+02:00
2026-04-04,2.169,2026-04-04T12:04:54+02:00
2026-04-05,2.069,2026-04-05T12:00:00+02:00
2026-04-06,2.219,2026-04-06T12:06:59+02:00
2026-04-07,2.279,2026-04-07T12:05:17+02:00
2026-04-08,2.289,2026-04-08T12:05:15+02:00
2026-04-09,2.149,2026-04-08T19:34:28+02:00
2026-04-10,2.179,2026-04-10T12:05:22+02:00
2026-04-11,2.199,2026-04-11T12:05:21+02:00
2026-04-12,2.119,2026-04-11T13:45:52+02:00
2026-04-13,2.179,2026-04-13T12:05:20+02:00
2026-04-14,2.099,2026-04-14T09:26:25+02:00
2026-04-15,2.129,2026-04-15T12:05:34+02:00
