date,price,last_update
2026-04-01,2.019,2026-04-01T12:00:00+02:00
2026-04-02,2.069,2026-04-02T12:01:46+02:00
2026-04-03,2.069,2026-04-03T12:00:00+02:00
2026-04-04,2.069,2026-04-04T12:00:00+02:00
2026-04-05,2.069,2026-04-05T12:00:00+02:00
2026-04-06,2.069,2026-04-06T12:00:00+02:00
2026-04-08,2.119,2026-04-07T12:03:16+02:00
2026-04-09,2.079,2026-04-09T08:57:35+02:00
2026-04-10,2.069,2026-04-09T21:26:52+02:00
2026-04-11,2.069,2026-04-11T08:42:14+02:00
2026-04-12,2.069,2026-04-11T08:42:14+02:00
2026-04-14,2.089,2026-04-13T12:03:17+02:00
2026-04-15,2.089,2026-04-15T09:14:06+02:00
2026-04-16,2.089,2026-04-15T09:14:06+02:00
2026-04-17,2.089,2026-04-17T08:04:37+02:00
2026-04-18,2.089,2026-04-17T08:04:37+02:00
2026-04-19,2.089,2026-04-19T09:01:59+02:00
2026-04-20,2.089,2026-04-19T09:01:59+02:00
