date,price,last_update
2026-04-01,2.089,2026-04-01T12:02:27+02:00
2026-04-02,2.189,2026-04-02T12:02:48+02:00
2026-04-03,2.189,2026-04-03T12:02:50+02:00
2026-04-04,2.189,2026-04-04T12:00:46+02:00
2026-04-05,2.189,2026-04-05T11:58:41+02:00
2026-04-06,2.209,2026-04-06T12:00:55+02:00
2026-04-07,2.209,2026-04-07T12:01:14+02:00
2026-04-08,2.209,2026-04-08T12:04:13+02:00
2026-04-09,2.129,2026-04-09T12:04:00+02:00
2026-04-10,2.119,2026-04-10T12:01:19+02:00
2026-04-11,2.129,2026-04-11T12:02:18+02:00
2026-04-12,2.149,2026-04-12T12:05:23+02:00
2026-04-13,2.149,2026-04-13T12:02:16+02:00
2026-04-14,2.129,2026-04-14T12:07:41+02:00
2026-04-15,2.119,2026-04-15T12:01:29+02:00
2026-04-16,2.159,2026-04-16T12:04:25+02:00
2026-04-17,2.119,2026-04-17T12:10:14+02:00
2026-04-18,2.119,2026-04-18T12:04:51+02:00
2026-04-19,2.119,2026-04-19T12:03:52+02:00
2026-04-20,2.099,2026-04-20T12:03:51+02:00
2026-04-21,2.009,2026-04-21T08:44:03+02:00
2026-04-22,2.159,2026-04-22T12:05:33+02:00
2026-04-23,2.129,2026-04-23T12:04:39+02:00
2026-04-24,2.149,2026-04-24T12:04:44+02:00
2026-04-25,2.199,2026-04-25T12:04:20+02:00
2026-04-26,2.189,2026-04-26T12:04:56+02:00
