date,price,last_update
2026-04-01,2.369,2026-04-01T11:34:50+02:00
2026-04-02,2.269,2026-04-02T11:35:57+02:00
2026-04-03,2.399,2026-04-03T12:04:54+02:00
2026-04-04,2.399,2026-04-04T12:00:00+02:00
2026-04-05,2.399,2026-04-05T12:00:00+02:00
2026-04-06,2.399,2026-04-06T12:00:00+02:00
2026-04-07,2.479,2026-04-07T12:10:22+02:00
2026-04-08,2.419,2026-04-07T14:04:30+02:00
2026-04-09,2.359,2026-04-09T07:05:33+02:00
2026-04-10,2.309,2026-04-10T12:10:27+02:00
2026-04-11,2.199,2026-04-11T06:35:18+02:00
2026-04-12,2.219,2026-04-12T12:05:23+02:00
2026-04-13,2.299,2026-04-13T12:10:26+02:00
