date,price,last_update
2026-06-03,2.009,2026-06-03T12:05:52+02:00
2026-06-04,2.029,2026-06-04T12:07:23+02:00
2026-06-05,1.999,2026-06-05T12:08:26+02:00
2026-06-06,1.999,2026-06-06T12:07:54+02:00
2026-06-07,1.999,2026-06-07T12:06:57+02:00
2026-06-08,1.989,2026-06-08T12:08:51+02:00
2026-06-09,1.999,2026-06-09T12:07:07+02:00
2026-06-10,1.969,2026-06-10T12:07:21+02:00
2026-06-11,1.849,2026-06-11T06:59:17+02:00
2026-06-12,1.849,2026-06-11T06:59:17+02:00
2026-06-14,1.849,2026-06-14T04:11:45+02:00
2026-06-15,1.849,2026-06-15T07:50:06+02:00
2026-06-16,1.849,2026-06-15T06:01:23+02:00
2026-06-17,1.769,2026-06-17T11:02:54+02:00
2026-06-18,1.909,2026-06-18T12:07:32+02:00
2026-06-19,1.929,2026-06-19T12:08:11+02:00
2026-06-20,1.939,2026-06-20T12:13:08+02:00
2026-06-21,1.939,2026-06-21T12:07:13+02:00
2026-06-22,1.949,2026-06-22T12:07:20+02:00
2026-06-23,1.899,2026-06-23T12:12:00+02:00
2026-06-24,1.899,2026-06-24T12:07:45+02:00
2026-06-25,1.919,2026-06-25T12:07:22+02:00
2026-06-26,1.899,2026-06-26T12:05:54+02:00
2026-06-27,1.929,2026-06-27T12:07:35+02:00
