date,price,last_update
2026-04-01,2.329,2026-04-01T12:03:32+02:00
2026-04-02,2.329,2026-04-02T12:00:41+02:00
2026-04-03,2.409,2026-04-03T11:57:46+02:00
2026-04-04,2.479,2026-04-04T11:59:45+02:00
2026-04-05,2.509,2026-04-05T11:59:42+02:00
2026-04-06,2.499,2026-04-06T11:58:54+02:00
2026-04-07,2.519,2026-04-07T11:57:07+02:00
2026-04-08,2.469,2026-04-08T12:00:00+02:00
2026-04-09,2.469,2026-04-09T11:58:54+02:00
2026-04-10,2.379,2026-04-10T11:59:17+02:00
2026-04-11,2.379,2026-04-11T11:59:14+02:00
2026-04-12,2.379,2026-04-12T11:59:16+02:00
2026-04-13,2.409,2026-04-13T11:58:12+02:00
2026-04-14,2.409,2026-04-14T11:58:28+02:00
2026-04-15,2.369,2026-04-15T12:01:29+02:00
2026-04-16,2.369,2026-04-16T12:00:21+02:00
2026-04-17,2.329,2026-04-17T11:59:58+02:00
2026-04-18,2.349,2026-04-18T11:59:48+02:00
2026-04-19,2.349,2026-04-19T11:59:49+02:00
2026-04-20,2.349,2026-04-20T11:59:46+02:00
2026-04-21,2.349,2026-04-21T11:59:18+02:00
2026-04-22,2.249,2026-04-22T12:00:29+02:00
2026-04-23,2.259,2026-04-23T12:00:35+02:00
2026-04-24,2.329,2026-04-24T11:59:40+02:00
2026-04-25,2.329,2026-04-25T12:01:17+02:00
2026-04-26,2.329,2026-04-26T11:59:53+02:00
2026-04-27,2.329,2026-04-27T11:59:42+02:00
2026-04-28,2.339,2026-04-28T12:00:58+02:00
2026-04-29,2.349,2026-04-29T11:59:27+02:00
