date,price,last_update
2026-04-01,2.179,2026-04-01T12:00:00+02:00
2026-04-02,2.129,2026-04-02T12:17:15+02:00
2026-04-03,2.149,2026-04-03T12:00:00+02:00
2026-04-04,2.179,2026-04-04T12:08:57+02:00
2026-04-05,2.199,2026-04-05T12:07:49+02:00
2026-04-06,2.219,2026-04-06T12:09:01+02:00
2026-04-07,2.219,2026-04-07T12:07:20+02:00
2026-04-08,2.229,2026-04-08T12:16:29+02:00
2026-04-09,2.119,2026-04-09T12:07:09+02:00
2026-04-10,2.149,2026-04-10T12:07:24+02:00
2026-04-11,2.129,2026-04-10T16:54:25+02:00
2026-04-12,2.079,2026-04-11T19:05:59+02:00
2026-04-14,2.159,2026-04-14T12:08:44+02:00
2026-04-15,2.159,2026-04-14T13:44:49+02:00
2026-04-16,2.099,2026-04-16T12:10:32+02:00
2026-04-17,2.139,2026-04-17T12:07:10+02:00
2026-04-18,2.059,2026-04-18T09:16:11+02:00
2026-04-19,2.109,2026-04-19T12:07:56+02:00
2026-04-20,2.059,2026-04-20T11:08:53+02:00
2026-04-21,2.109,2026-04-21T12:07:26+02:00
2026-04-22,2.109,2026-04-22T12:07:35+02:00
2026-04-23,2.099,2026-04-23T12:07:41+02:00
2026-04-24,2.099,2026-04-24T12:07:48+02:00
2026-04-25,2.119,2026-04-25T12:08:23+02:00
2026-04-26,2.119,2026-04-26T12:07:58+02:00
2026-04-27,2.139,2026-04-27T12:08:51+02:00
2026-04-28,2.119,2026-04-28T10:47:52+02:00
2026-04-29,2.129,2026-04-29T12:08:36+02:00
2026-04-30,2.129,2026-04-30T10:36:17+02:00
2026-05-01,2.019,2026-05-01T12:08:37+02:00
2026-05-02,2.089,2026-05-02T12:08:45+02:00
2026-05-03,2.059,2026-05-02T19:50:27+02:00
2026-05-04,1.999,2026-05-04T07:56:28+02:00
2026-05-05,2.049,2026-05-05T12:07:52+02:00
2026-05-06,2.049,2026-05-06T12:08:51+02:00
2026-05-07,2.009,2026-05-06T17:12:20+02:00
2026-05-08,1.979,2026-05-08T06:26:55+02:00
2026-05-09,1.979,2026-05-08T06:26:55+02:00
2026-05-11,1.979,2026-05-10T14:59:16+02:00
2026-05-12,1.979,2026-05-12T11:48:13+02:00
2026-05-13,1.999,2026-05-13T12:11:42+02:00
2026-05-14,1.999,2026-05-13T12:27:59+02:00
2026-05-17,2.019,2026-05-17T12:08:17+02:00
2026-05-18,2.049,2026-05-18T12:07:25+02:00
2026-05-19,2.079,2026-05-19T12:07:54+02:00
2026-05-20,2.049,2026-05-20T12:08:16+02:00
2026-05-21,2.049,2026-05-20T12:08:16+02:00
2026-05-22,2.049,2026-05-22T12:08:20+02:00
2026-05-23,2.049,2026-05-22T12:08:20+02:00
2026-05-24,2.049,2026-05-24T12:08:43+02:00
2026-05-25,2.049,2026-05-25T12:08:36+02:00
2026-05-26,2.049,2026-05-25T12:08:36+02:00
2026-05-27,1.979,2026-05-27T12:07:47+02:00
2026-05-28,1.979,2026-05-27T12:07:47+02:00
2026-05-29,1.929,2026-05-28T13:35:31+02:00
2026-06-01,1.979,2026-06-01T12:08:51+02:00
2026-06-02,1.899,2026-06-02T08:00:29+02:00
2026-06-03,1.919,2026-06-03T12:08:54+02:00
2026-06-04,1.919,2026-06-03T12:08:54+02:00
2026-06-05,1.919,2026-06-04T12:07:23+02:00
2026-06-07,1.929,2026-06-07T12:08:58+02:00
2026-06-08,1.929,2026-06-08T11:57:40+02:00
2026-06-09,1.959,2026-06-09T12:10:12+02:00
2026-06-10,1.929,2026-06-10T08:45:10+02:00
2026-06-11,1.929,2026-06-11T11:30:40+02:00
2026-06-12,1.959,2026-06-12T12:08:27+02:00
2026-06-13,1.959,2026-06-12T12:09:28+02:00
2026-06-14,1.929,2026-06-14T12:08:19+02:00
2026-06-15,1.869,2026-06-15T07:59:17+02:00
2026-06-16,1.869,2026-06-15T07:59:17+02:00
2026-06-17,1.849,2026-06-16T20:08:19+02:00
2026-06-23,1.869,2026-06-23T09:22:27+02:00
2026-06-24,1.849,2026-06-23T17:08:32+02:00
2026-06-27,1.839,2026-06-27T10:33:20+02:00
2026-06-28,1.869,2026-06-28T12:08:45+02:00
2026-06-29,1.879,2026-06-29T12:07:55+02:00
2026-06-30,1.939,2026-06-30T12:08:43+02:00
2026-07-01,2.079,2026-07-01T12:08:14+02:00
2026-07-02,2.149,2026-07-02T12:08:33+02:00
2026-07-03,2.119,2026-07-03T12:07:50+02:00
2026-07-04,2.069,2026-07-04T11:51:50+02:00
2026-07-05,2.099,2026-07-05T12:08:33+02:00
2026-07-06,2.079,2026-07-05T16:44:53+02:00
2026-07-07,2.069,2026-07-07T10:14:56+02:00
2026-07-08,2.069,2026-07-07T10:14:56+02:00
2026-07-10,2.119,2026-07-10T12:09:35+02:00
2026-07-11,2.129,2026-07-11T12:08:21+02:00
2026-07-12,2.129,2026-07-11T12:08:21+02:00
2026-07-14,2.179,2026-07-13T12:08:50+02:00
2026-07-15,2.179,2026-07-15T12:07:43+02:00
2026-07-16,2.179,2026-07-15T12:15:50+02:00
2026-07-17,2.209,2026-07-16T17:44:45+02:00
2026-07-18,2.199,2026-07-18T08:58:53+02:00
2026-07-19,2.199,2026-07-18T21:54:46+02:00
2026-07-21,2.189,2026-07-21T12:07:59+02:00
