date,price,last_update
2026-04-01,2.189,2026-04-01T12:00:00+02:00
2026-04-02,2.239,2026-04-02T11:58:35+02:00
2026-04-03,2.239,2026-04-03T12:00:00+02:00
2026-04-04,2.239,2026-04-04T12:00:00+02:00
2026-04-05,2.239,2026-04-05T12:00:00+02:00
2026-04-06,2.239,2026-04-06T12:00:00+02:00
2026-04-08,2.349,2026-04-07T12:02:15+02:00
2026-04-09,2.279,2026-04-09T07:25:51+02:00
2026-04-10,2.219,2026-04-10T07:08:46+02:00
2026-04-11,2.189,2026-04-11T11:35:53+02:00
2026-04-12,2.189,2026-04-11T11:35:53+02:00
2026-04-15,2.159,2026-04-14T14:03:16+02:00
2026-04-16,2.089,2026-04-16T07:35:58+02:00
2026-04-17,2.089,2026-04-16T07:35:58+02:00
2026-04-20,2.029,2026-04-20T07:59:23+02:00
