date,price,last_update
2026-04-01,2.239,2026-04-01T09:34:22+02:00
2026-04-02,2.239,2026-04-02T12:00:00+02:00
2026-04-03,2.239,2026-04-03T12:00:00+02:00
2026-04-04,2.239,2026-04-04T12:00:00+02:00
2026-04-06,2.239,2026-04-06T12:00:00+02:00
2026-04-08,2.349,2026-04-08T12:07:18+02:00
2026-04-09,2.099,2026-04-09T11:01:54+02:00
2026-04-10,2.179,2026-04-10T12:08:25+02:00
2026-04-11,2.179,2026-04-10T12:08:25+02:00
2026-04-15,2.169,2026-04-14T12:07:41+02:00
2026-04-16,2.079,2026-04-15T12:05:34+02:00
2026-04-17,2.059,2026-04-16T12:11:33+02:00
