date,price,last_update
2026-04-01,2.379,2026-04-01T12:19:57+02:00
2026-04-02,2.419,2026-04-02T12:05:53+02:00
2026-04-03,2.409,2026-04-03T12:06:55+02:00
2026-04-04,2.459,2026-04-04T12:08:57+02:00
2026-04-05,2.499,2026-04-05T12:07:49+02:00
2026-04-06,2.539,2026-04-06T12:09:01+02:00
2026-04-07,2.549,2026-04-07T12:08:20+02:00
2026-04-08,2.389,2026-04-08T12:07:18+02:00
2026-04-09,2.359,2026-04-09T12:08:10+02:00
2026-04-10,2.279,2026-04-10T12:07:24+02:00
2026-04-11,2.289,2026-04-11T12:08:23+02:00
2026-04-12,2.279,2026-04-12T12:07:25+02:00
2026-04-13,2.189,2026-04-13T09:08:53+02:00
2026-04-14,2.189,2026-04-14T06:51:28+02:00
