date,price,last_update
2026-04-01,2.364,2026-04-01T12:07:36+02:00
2026-04-02,2.444,2026-04-02T12:06:54+02:00
2026-04-03,2.434,2026-04-03T12:15:18+02:00
2026-04-04,2.494,2026-04-04T12:06:56+02:00
2026-04-05,2.494,2026-04-05T12:05:46+02:00
2026-04-06,2.494,2026-04-06T12:06:59+02:00
2026-04-07,2.524,2026-04-07T12:05:17+02:00
2026-04-08,2.454,2026-04-07T18:34:54+02:00
2026-04-09,2.394,2026-04-09T12:05:03+02:00
2026-04-10,2.394,2026-04-10T12:07:24+02:00
2026-04-11,2.364,2026-04-11T12:05:21+02:00
2026-04-12,2.364,2026-04-12T12:07:25+02:00
2026-04-13,2.414,2026-04-13T12:07:23+02:00
2026-04-14,2.354,2026-04-14T12:07:41+02:00
