date,price,last_update
2026-04-01,2.159,2026-04-01T12:28:16+02:00
2026-04-02,2.199,2026-04-02T12:24:38+02:00
2026-04-03,2.199,2026-04-03T12:00:00+02:00
2026-04-04,2.199,2026-04-04T12:14:06+02:00
2026-04-05,2.259,2026-04-05T12:18:56+02:00
2026-04-06,2.229,2026-04-06T12:22:13+02:00
2026-04-07,2.239,2026-04-07T12:17:30+02:00
2026-04-08,2.189,2026-04-08T12:00:00+02:00
2026-04-09,2.089,2026-04-09T08:30:07+02:00
2026-04-10,2.169,2026-04-10T12:12:29+02:00
2026-04-11,2.129,2026-04-10T16:20:51+02:00
2026-04-12,2.129,2026-04-11T15:23:24+02:00
2026-04-13,2.209,2026-04-13T12:14:32+02:00
2026-04-14,2.179,2026-04-13T14:37:43+02:00
2026-04-15,2.159,2026-04-15T12:13:43+02:00
2026-04-16,2.129,2026-04-15T18:22:20+02:00
2026-04-17,2.089,2026-04-17T11:49:45+02:00
2026-04-18,2.069,2026-04-18T09:16:11+02:00
2026-04-19,2.099,2026-04-18T17:01:29+02:00
2026-04-20,2.089,2026-04-20T10:30:15+02:00
2026-04-21,2.089,2026-04-21T09:19:33+02:00
2026-04-22,2.079,2026-04-22T07:50:37+02:00
2026-04-23,2.089,2026-04-22T17:07:15+02:00
2026-04-24,2.099,2026-04-23T17:25:47+02:00
