date,price,last_update
2026-04-01,2.369,2026-04-01T12:19:57+02:00
2026-04-02,2.279,2026-04-02T10:32:49+02:00
2026-04-03,2.429,2026-04-03T12:13:07+02:00
2026-04-04,2.469,2026-04-04T12:18:11+02:00
2026-04-05,2.499,2026-04-05T12:17:56+02:00
2026-04-06,2.469,2026-04-06T12:12:05+02:00
2026-04-07,2.499,2026-04-07T12:18:31+02:00
2026-04-08,2.449,2026-04-08T12:12:25+02:00
2026-04-09,2.439,2026-04-09T12:12:16+02:00
2026-04-10,2.339,2026-04-10T12:12:29+02:00
2026-04-11,2.349,2026-04-11T12:13:29+02:00
2026-04-12,2.349,2026-04-12T12:14:31+02:00
2026-04-13,2.359,2026-04-13T12:13:30+02:00
