date,price,last_update
2026-04-01,2.279,2026-04-01T12:02:27+02:00
2026-04-02,2.279,2026-04-02T12:00:41+02:00
2026-04-03,2.299,2026-04-03T12:02:50+02:00
2026-04-04,2.349,2026-04-04T12:24:17+02:00
2026-04-05,2.399,2026-04-05T12:02:44+02:00
2026-04-06,2.399,2026-04-06T12:00:00+02:00
2026-04-07,2.389,2026-04-07T12:00:00+02:00
2026-04-08,2.389,2026-04-07T09:51:59+02:00
2026-04-09,2.319,2026-04-09T10:00:49+02:00
2026-04-10,2.289,2026-04-10T12:12:29+02:00
2026-04-11,2.249,2026-04-11T10:18:41+02:00
2026-04-12,2.269,2026-04-12T12:14:31+02:00
