date,price,last_update
2026-04-01,2.159,2026-04-01T08:28:36+02:00
2026-04-02,2.159,2026-04-02T12:00:00+02:00
2026-04-03,2.159,2026-04-03T12:02:50+02:00
2026-04-04,2.249,2026-04-04T12:02:49+02:00
2026-04-05,2.289,2026-04-05T12:03:45+02:00
2026-04-06,2.229,2026-04-06T12:00:00+02:00
2026-04-07,2.229,2026-04-07T12:00:00+02:00
2026-04-09,2.189,2026-04-09T08:53:32+02:00
2026-04-10,2.189,2026-04-10T12:01:19+02:00
2026-04-11,2.169,2026-04-10T13:04:26+02:00
2026-04-12,2.159,2026-04-11T13:40:47+02:00
2026-04-14,2.189,2026-04-14T12:11:48+02:00
2026-04-15,2.149,2026-04-15T05:50:21+02:00
2026-04-16,2.139,2026-04-16T08:14:45+02:00
2026-04-17,2.139,2026-04-17T09:05:48+02:00
2026-04-18,2.139,2026-04-17T09:05:48+02:00
2026-04-20,2.139,2026-04-20T06:36:59+02:00
2026-04-21,2.119,2026-04-21T09:30:44+02:00
2026-04-22,2.109,2026-04-22T11:54:25+02:00
2026-04-23,2.109,2026-04-22T11:54:25+02:00
2026-04-29,2.139,2026-04-28T15:09:53+02:00
2026-05-02,2.039,2026-05-01T12:30:05+02:00
2026-05-03,1.969,2026-05-02T12:12:04+02:00
2026-05-06,1.989,2026-05-05T16:47:59+02:00
2026-05-07,1.989,2026-05-07T07:08:35+02:00
2026-05-08,1.979,2026-05-07T13:27:27+02:00
2026-05-09,1.979,2026-05-08T14:07:35+02:00
2026-05-10,1.979,2026-05-10T08:04:59+02:00
2026-05-11,1.979,2026-05-10T08:04:59+02:00
2026-05-13,1.979,2026-05-12T12:04:25+02:00
2026-05-18,1.969,2026-05-18T09:51:26+02:00
2026-05-19,1.969,2026-05-18T09:51:26+02:00
2026-05-20,1.999,2026-05-20T12:03:13+02:00
2026-05-21,1.999,2026-05-21T12:07:26+02:00
2026-05-22,1.969,2026-05-21T15:10:10+02:00
2026-05-23,1.969,2026-05-23T05:55:43+02:00
2026-05-24,1.969,2026-05-24T05:28:46+02:00
2026-05-25,1.969,2026-05-24T05:28:46+02:00
2026-05-27,1.969,2026-05-27T05:59:07+02:00
2026-05-28,1.969,2026-05-28T05:38:08+02:00
2026-05-29,1.959,2026-05-29T11:45:44+02:00
2026-05-30,1.959,2026-05-29T11:45:44+02:00
2026-05-31,1.919,2026-05-31T07:59:42+02:00
