date,price,last_update
2026-04-01,2.129,2026-04-01T12:00:00+02:00
2026-04-02,2.149,2026-04-02T12:00:41+02:00
2026-04-03,2.149,2026-04-03T12:00:00+02:00
2026-04-04,2.169,2026-04-04T12:00:46+02:00
2026-04-05,2.169,2026-04-05T12:00:00+02:00
2026-04-06,2.219,2026-04-06T12:08:00+02:00
2026-04-07,2.249,2026-04-07T12:08:20+02:00
2026-04-08,2.249,2026-04-07T12:08:20+02:00
2026-04-09,2.219,2026-04-09T07:06:34+02:00
2026-04-10,2.209,2026-04-10T08:40:31+02:00
2026-04-11,2.209,2026-04-10T08:40:31+02:00
2026-04-13,2.169,2026-04-13T10:51:47+02:00
