date,price,last_update
2026-04-01,2.429,2026-04-01T12:11:41+02:00
2026-04-02,2.629,2026-04-02T12:04:53+02:00
2026-04-03,2.339,2026-04-03T12:15:18+02:00
2026-04-04,2.529,2026-04-04T12:06:56+02:00
2026-04-05,2.659,2026-04-05T12:12:52+02:00
2026-04-06,2.579,2026-04-06T12:10:03+02:00
2026-04-07,2.649,2026-04-07T12:14:27+02:00
2026-04-08,2.639,2026-04-08T12:15:28+02:00
2026-04-09,2.589,2026-04-09T12:10:14+02:00
2026-04-10,2.439,2026-04-10T12:13:29+02:00
2026-04-11,2.529,2026-04-11T12:09:24+02:00
2026-04-12,2.249,2026-04-12T09:02:22+02:00
2026-04-13,2.269,2026-04-12T17:46:50+02:00
2026-04-14,2.399,2026-04-14T12:10:45+02:00
2026-04-15,2.309,2026-04-15T12:10:39+02:00
2026-04-16,2.269,2026-04-16T12:14:37+02:00
2026-04-17,2.249,2026-04-17T12:13:17+02:00
2026-04-18,2.159,2026-04-17T17:09:50+02:00
2026-04-19,2.219,2026-04-19T12:13:00+02:00
2026-04-20,2.139,2026-04-19T16:29:05+02:00
2026-04-21,2.209,2026-04-21T12:11:29+02:00
2026-04-22,2.109,2026-04-21T20:10:14+02:00
2026-04-23,2.239,2026-04-23T12:11:44+02:00
2026-04-24,2.139,2026-04-23T17:48:07+02:00
2026-04-25,2.299,2026-04-25T12:11:25+02:00
2026-04-26,2.169,2026-04-25T15:56:28+02:00
2026-04-27,2.149,2026-04-27T09:40:07+02:00
2026-04-28,2.149,2026-04-27T19:56:00+02:00
2026-04-29,2.149,2026-04-28T19:15:33+02:00
2026-04-30,2.339,2026-04-30T12:09:38+02:00
2026-05-01,2.189,2026-05-01T12:11:44+02:00
2026-05-02,2.259,2026-05-02T12:13:16+02:00
2026-05-03,2.189,2026-05-03T12:15:00+02:00
2026-05-04,2.309,2026-05-04T12:13:14+02:00
2026-05-05,2.079,2026-05-05T09:57:17+02:00
2026-05-06,2.039,2026-05-06T10:03:43+02:00
2026-05-07,2.119,2026-05-07T12:13:19+02:00
2026-05-08,1.999,2026-05-07T18:22:37+02:00
2026-05-09,1.969,2026-05-09T09:38:44+02:00
2026-05-10,1.939,2026-05-10T11:21:27+02:00
2026-05-11,1.939,2026-05-10T12:51:36+02:00
2026-05-12,2.109,2026-05-12T12:10:30+02:00
2026-05-13,1.939,2026-05-12T18:43:23+02:00
2026-05-14,1.959,2026-05-13T18:14:54+02:00
2026-05-15,2.109,2026-05-15T12:14:52+02:00
2026-05-16,1.949,2026-05-16T09:27:25+02:00
2026-05-17,1.949,2026-05-17T11:19:32+02:00
2026-05-18,2.169,2026-05-18T12:10:27+02:00
2026-05-19,1.959,2026-05-18T17:35:28+02:00
2026-05-20,1.929,2026-05-20T11:19:31+02:00
2026-05-21,2.069,2026-05-21T12:13:30+02:00
2026-05-22,2.089,2026-05-22T12:12:23+02:00
2026-05-23,2.119,2026-05-23T12:12:47+02:00
2026-05-24,1.909,2026-05-24T08:59:33+02:00
2026-05-25,1.899,2026-05-24T17:23:48+02:00
2026-05-26,1.899,2026-05-25T15:31:26+02:00
2026-05-27,2.079,2026-05-27T12:13:53+02:00
2026-05-28,2.069,2026-05-28T12:11:09+02:00
2026-05-29,1.899,2026-05-29T09:33:43+02:00
2026-05-30,2.059,2026-05-30T12:10:27+02:00
2026-05-31,1.869,2026-05-31T11:22:31+02:00
2026-06-01,1.859,2026-06-01T10:05:39+02:00
2026-06-02,1.959,2026-06-02T12:12:51+02:00
2026-06-03,1.849,2026-06-03T09:34:28+02:00
