date,price,last_update
2026-04-01,2.309,2026-04-01T12:11:41+02:00
2026-04-02,2.219,2026-04-02T12:22:35+02:00
2026-04-03,2.199,2026-04-03T12:00:00+02:00
2026-04-04,2.279,2026-04-04T12:09:58+02:00
2026-04-05,2.279,2026-04-05T12:09:50+02:00
2026-04-06,2.279,2026-04-06T12:08:00+02:00
2026-04-07,2.279,2026-04-07T13:13:33+02:00
2026-04-08,2.159,2026-04-08T12:19:34+02:00
2026-04-09,2.239,2026-04-09T12:10:14+02:00
2026-04-10,2.249,2026-04-10T12:13:29+02:00
2026-04-11,2.239,2026-04-11T12:07:23+02:00
2026-04-12,2.239,2026-04-12T12:07:25+02:00
2026-04-13,2.289,2026-04-13T12:07:23+02:00
2026-04-14,2.269,2026-04-14T12:07:41+02:00
2026-04-15,2.259,2026-04-15T12:05:34+02:00
2026-04-16,2.259,2026-04-16T12:05:26+02:00
2026-04-17,2.239,2026-04-17T12:10:14+02:00
