date,price,last_update
2026-04-01,2.149,2026-04-01T12:00:00+02:00
2026-04-02,2.299,2026-04-02T12:00:41+02:00
2026-04-03,2.309,2026-04-03T12:07:56+02:00
2026-04-04,2.379,2026-04-04T12:07:57+02:00
2026-04-05,2.369,2026-04-05T12:34:09+02:00
2026-04-06,2.369,2026-04-06T12:06:59+02:00
2026-04-07,2.379,2026-04-07T12:07:20+02:00
2026-04-08,2.339,2026-04-08T12:09:20+02:00
2026-04-09,2.299,2026-04-09T12:12:16+02:00
2026-04-10,2.269,2026-04-10T12:13:29+02:00
2026-04-11,2.269,2026-04-11T12:10:25+02:00
2026-04-12,2.099,2026-04-11T19:13:08+02:00
2026-04-13,2.249,2026-04-13T12:13:30+02:00
2026-04-14,2.259,2026-04-14T12:14:51+02:00
2026-04-15,2.249,2026-04-15T12:13:43+02:00
2026-04-16,2.229,2026-04-16T12:08:30+02:00
