date,price,last_update
2026-04-01,2.219,2026-04-01T12:02:27+02:00
2026-04-02,2.199,2026-04-02T12:00:41+02:00
2026-04-03,2.249,2026-04-03T11:59:47+02:00
2026-04-04,2.209,2026-04-04T12:00:00+02:00
2026-04-05,2.209,2026-04-05T12:00:00+02:00
2026-04-06,2.209,2026-04-06T12:00:00+02:00
2026-04-07,2.139,2026-04-07T12:00:00+02:00
2026-04-08,2.229,2026-04-08T12:00:00+02:00
2026-04-09,2.109,2026-04-09T08:37:16+02:00
2026-04-10,2.159,2026-04-10T12:00:17+02:00
2026-04-11,2.139,2026-04-10T12:56:20+02:00
2026-04-13,2.109,2026-04-13T11:57:11+02:00
2026-04-14,2.159,2026-04-14T12:00:30+02:00
2026-04-15,2.139,2026-04-15T11:59:27+02:00
2026-04-16,2.139,2026-04-16T11:59:20+02:00
2026-04-17,2.119,2026-04-17T11:58:57+02:00
2026-04-18,2.119,2026-04-17T11:58:57+02:00
2026-04-19,2.109,2026-04-18T13:13:52+02:00
2026-04-20,2.199,2026-04-20T11:57:45+02:00
2026-04-21,1.999,2026-04-21T09:15:30+02:00
2026-04-22,2.099,2026-04-22T11:58:28+02:00
2026-04-23,2.019,2026-04-23T09:16:53+02:00
2026-04-24,2.119,2026-04-24T11:58:40+02:00
2026-04-25,2.079,2026-04-24T16:19:37+02:00
2026-04-27,2.149,2026-04-27T11:59:42+02:00
2026-04-28,2.249,2026-04-28T11:57:54+02:00
2026-04-29,2.169,2026-04-29T11:58:25+02:00
2026-04-30,2.219,2026-04-30T11:58:28+02:00
2026-05-01,2.039,2026-04-30T23:59:59+02:00
2026-05-02,2.009,2026-05-01T16:16:02+02:00
2026-05-05,2.099,2026-05-05T11:59:31+02:00
