date,price,last_update
2026-04-01,2.429,2026-04-01T12:24:08+02:00
2026-04-02,2.399,2026-04-02T12:13:00+02:00
2026-04-03,2.509,2026-04-03T12:06:55+02:00
2026-04-04,2.499,2026-04-04T12:13:06+02:00
2026-04-05,2.509,2026-04-05T12:05:46+02:00
2026-04-06,2.549,2026-04-06T12:06:59+02:00
2026-04-07,2.419,2026-04-07T12:12:25+02:00
2026-04-08,2.499,2026-04-08T12:12:25+02:00
2026-04-09,2.399,2026-04-09T12:12:16+02:00
2026-04-10,2.379,2026-04-10T12:12:29+02:00
2026-04-11,2.359,2026-04-11T12:13:29+02:00
2026-04-12,2.339,2026-04-12T12:11:29+02:00
2026-04-13,2.339,2026-04-13T12:12:28+02:00
2026-04-14,2.349,2026-04-14T12:11:48+02:00
2026-04-15,2.309,2026-04-15T12:13:43+02:00
2026-04-16,2.299,2026-04-16T12:11:33+02:00
2026-04-17,2.189,2026-04-17T06:15:40+02:00
2026-04-18,2.259,2026-04-18T12:11:56+02:00
2026-04-19,2.229,2026-04-19T12:11:58+02:00
2026-04-20,2.119,2026-04-19T15:27:57+02:00
2026-04-21,2.229,2026-04-21T12:12:30+02:00
2026-04-22,2.189,2026-04-22T12:12:38+02:00
2026-04-23,2.189,2026-04-23T12:12:44+02:00
2026-04-24,2.189,2026-04-24T12:12:52+02:00
2026-04-25,2.189,2026-04-25T12:13:27+02:00
2026-04-26,2.199,2026-04-26T12:13:07+02:00
2026-04-27,2.189,2026-04-27T12:12:55+02:00
2026-04-28,2.099,2026-04-28T09:21:34+02:00
2026-04-29,2.229,2026-04-29T12:11:38+02:00
2026-04-30,2.229,2026-04-30T12:12:40+02:00
2026-05-01,2.089,2026-05-01T12:12:51+02:00
2026-05-02,2.109,2026-05-02T12:13:16+02:00
2026-05-03,2.109,2026-05-03T12:12:57+02:00
2026-05-04,2.119,2026-05-04T12:06:57+02:00
