date,price,last_update
2026-04-01,2.839,2026-04-01T12:12:43+02:00
2026-04-02,2.859,2026-04-02T12:06:54+02:00
2026-04-03,2.779,2026-04-03T12:06:55+02:00
2026-04-04,2.779,2026-04-04T12:06:56+02:00
2026-04-05,2.779,2026-04-05T12:07:49+02:00
2026-04-06,2.779,2026-04-06T12:06:59+02:00
2026-04-07,2.779,2026-04-07T12:07:20+02:00
2026-04-08,2.789,2026-04-08T12:08:19+02:00
2026-04-09,2.749,2026-04-08T14:28:42+02:00
2026-04-10,2.719,2026-04-09T14:26:40+02:00
2026-04-11,2.639,2026-04-10T12:52:15+02:00
2026-04-14,2.669,2026-04-13T14:10:07+02:00
2026-04-15,2.659,2026-04-15T12:09:38+02:00
2026-04-16,2.669,2026-04-16T12:07:29+02:00
2026-04-17,2.649,2026-04-17T12:07:10+02:00
