date,price,last_update
2026-04-01,2.089,2026-04-01T12:00:00+02:00
2026-04-02,2.149,2026-04-02T12:16:09+02:00
2026-04-03,2.189,2026-04-03T12:17:24+02:00
2026-04-04,2.189,2026-04-04T12:17:11+02:00
2026-04-05,2.189,2026-04-05T12:15:54+02:00
2026-04-06,2.189,2026-04-06T11:06:13+02:00
2026-04-07,2.209,2026-04-07T12:16:29+02:00
2026-04-08,2.189,2026-04-08T12:16:29+02:00
2026-04-09,2.099,2026-04-09T08:22:56+02:00
2026-04-10,2.069,2026-04-10T09:36:33+02:00
2026-04-11,2.079,2026-04-11T10:31:53+02:00
2026-04-12,2.139,2026-04-12T12:14:31+02:00
2026-04-13,2.039,2026-04-13T09:02:44+02:00
2026-04-14,2.099,2026-04-13T12:48:32+02:00
2026-04-15,2.069,2026-04-15T08:22:14+02:00
2026-04-16,2.109,2026-04-16T12:14:37+02:00
2026-04-17,2.039,2026-04-17T09:01:44+02:00
2026-04-18,2.109,2026-04-18T12:14:59+02:00
2026-04-19,2.029,2026-04-19T11:17:12+02:00
2026-04-20,2.039,2026-04-20T11:01:47+02:00
2026-04-21,2.109,2026-04-21T12:14:32+02:00
