date,price,last_update
2026-04-01,2.299,2026-04-01T12:05:33+02:00
2026-04-02,2.339,2026-04-02T12:09:58+02:00
2026-04-03,2.359,2026-04-03T12:07:56+02:00
2026-04-04,2.419,2026-04-04T12:11:04+02:00
2026-04-05,2.419,2026-04-05T12:10:51+02:00
2026-04-06,2.469,2026-04-06T12:10:03+02:00
2026-04-07,2.429,2026-04-07T12:11:23+02:00
2026-04-08,2.449,2026-04-08T12:12:25+02:00
2026-04-09,2.339,2026-04-09T11:39:32+02:00
2026-04-10,2.329,2026-04-10T12:12:29+02:00
2026-04-11,2.249,2026-04-11T12:09:24+02:00
2026-04-12,2.269,2026-04-12T12:11:29+02:00
2026-04-13,2.249,2026-04-13T12:10:26+02:00
2026-04-14,2.269,2026-04-14T12:10:45+02:00
2026-04-15,2.269,2026-04-15T12:10:39+02:00
2026-04-16,2.239,2026-04-16T12:09:30+02:00
2026-04-17,2.209,2026-04-17T12:10:14+02:00
2026-04-18,2.169,2026-04-18T12:09:55+02:00
2026-04-19,2.139,2026-04-19T12:08:56+02:00
2026-04-20,2.149,2026-04-20T12:12:59+02:00
2026-04-21,2.109,2026-04-21T12:10:28+02:00
2026-04-22,2.089,2026-04-22T12:09:36+02:00
