date,price,last_update
2026-04-01,2.319,2026-04-01T11:59:22+02:00
2026-04-02,2.259,2026-04-02T12:03:51+02:00
2026-04-03,2.319,2026-04-03T12:00:00+02:00
2026-04-04,2.399,2026-04-04T12:06:56+02:00
2026-04-05,2.399,2026-04-05T12:00:00+02:00
2026-04-06,2.499,2026-04-06T12:28:16+02:00
2026-04-07,2.509,2026-04-07T12:03:16+02:00
2026-04-08,2.489,2026-04-08T12:01:04+02:00
2026-04-09,2.439,2026-04-09T12:00:56+02:00
2026-04-10,2.309,2026-04-10T12:02:20+02:00
2026-04-11,2.349,2026-04-11T12:04:20+02:00
2026-04-12,2.349,2026-04-12T12:04:23+02:00
2026-04-13,2.369,2026-04-13T12:03:17+02:00
