date,price,last_update
2026-04-01,2.309,2026-04-01T12:26:12+02:00
2026-04-02,2.329,2026-04-02T12:06:54+02:00
2026-04-03,2.369,2026-04-03T12:11:02+02:00
2026-04-04,2.399,2026-04-04T11:56:42+02:00
2026-04-05,2.389,2026-04-05T12:10:51+02:00
2026-04-06,2.359,2026-04-06T12:00:00+02:00
2026-04-07,2.459,2026-04-07T12:16:29+02:00
2026-04-08,2.419,2026-04-08T12:16:29+02:00
2026-04-09,2.389,2026-04-09T12:11:16+02:00
2026-04-10,2.259,2026-04-10T08:45:36+02:00
2026-04-11,2.359,2026-04-11T12:10:25+02:00
2026-04-12,2.259,2026-04-11T17:31:23+02:00
2026-04-13,2.349,2026-04-13T12:10:26+02:00
2026-04-14,2.309,2026-04-14T12:10:45+02:00
2026-04-15,2.209,2026-04-15T09:01:51+02:00
2026-04-16,2.279,2026-04-16T12:10:32+02:00
2026-04-17,2.159,2026-04-17T10:55:42+02:00
2026-04-18,2.129,2026-04-18T09:35:30+02:00
2026-04-19,2.109,2026-04-19T10:45:43+02:00
