date,price,last_update
2026-04-01,2.199,2026-04-01T08:44:56+02:00
2026-04-02,2.259,2026-04-02T12:04:53+02:00
2026-04-03,2.289,2026-04-03T12:04:54+02:00
2026-04-04,2.299,2026-04-04T12:04:54+02:00
2026-04-05,2.279,2026-04-05T12:00:00+02:00
2026-04-06,2.279,2026-04-06T12:04:58+02:00
2026-04-07,2.299,2026-04-07T12:05:17+02:00
2026-04-08,2.269,2026-04-07T16:08:22+02:00
2026-04-09,2.279,2026-04-09T12:05:03+02:00
2026-04-10,2.269,2026-04-10T12:05:22+02:00
2026-04-11,2.209,2026-04-10T16:10:41+02:00
2026-04-14,2.289,2026-04-14T12:05:39+02:00
2026-04-15,2.259,2026-04-15T12:05:34+02:00
2026-04-16,2.269,2026-04-16T12:05:26+02:00
2026-04-17,2.259,2026-04-17T12:05:07+02:00
2026-04-18,2.199,2026-04-17T13:05:23+02:00
2026-04-21,2.259,2026-04-21T12:05:24+02:00
2026-04-22,2.249,2026-04-22T12:04:32+02:00
2026-04-23,2.149,2026-04-23T08:07:51+02:00
2026-04-24,2.289,2026-04-24T12:05:45+02:00
2026-04-25,2.199,2026-04-24T16:08:26+02:00
2026-04-27,2.329,2026-04-27T12:04:48+02:00
2026-04-28,2.289,2026-04-28T12:07:04+02:00
2026-04-29,2.279,2026-04-29T12:05:33+02:00
2026-04-30,2.309,2026-04-30T12:04:34+02:00
2026-05-01,2.159,2026-05-01T12:07:29+02:00
2026-05-02,2.139,2026-05-02T12:07:36+02:00
2026-05-03,2.129,2026-05-02T16:18:35+02:00
2026-05-05,2.169,2026-05-05T12:05:50+02:00
2026-05-06,2.179,2026-05-06T12:04:49+02:00
