date,price,last_update
2026-04-01,2.219,2026-04-01T12:02:27+02:00
2026-04-02,2.249,2026-04-02T11:58:35+02:00
2026-04-03,2.259,2026-04-03T12:04:54+02:00
2026-04-04,2.329,2026-04-04T12:04:54+02:00
2026-04-05,2.329,2026-04-05T12:05:46+02:00
2026-04-06,2.319,2026-04-06T12:04:58+02:00
2026-04-07,2.289,2026-04-07T12:05:17+02:00
2026-04-08,2.329,2026-04-08T12:05:15+02:00
2026-04-09,2.289,2026-04-09T12:07:09+02:00
2026-04-10,2.249,2026-04-10T12:07:24+02:00
2026-04-11,2.259,2026-04-11T12:05:21+02:00
2026-04-12,2.269,2026-04-12T12:07:25+02:00
2026-04-13,2.269,2026-04-13T12:05:20+02:00
2026-04-14,2.259,2026-04-14T12:07:41+02:00
