date,price,last_update
2026-04-01,2.399,2026-04-01T12:02:27+02:00
2026-04-02,2.379,2026-04-02T12:33:00+02:00
2026-04-03,2.539,2026-04-03T12:32:57+02:00
2026-04-04,2.509,2026-04-04T12:34:34+02:00
2026-04-05,2.509,2026-04-05T12:05:46+02:00
2026-04-06,2.509,2026-04-06T12:33:20+02:00
2026-04-07,2.509,2026-04-07T12:05:17+02:00
2026-04-08,2.539,2026-04-08T12:03:10+02:00
2026-04-09,2.319,2026-04-09T10:39:30+02:00
2026-04-10,2.429,2026-04-10T12:02:20+02:00
2026-04-11,2.219,2026-04-10T19:06:36+02:00
2026-04-12,2.219,2026-04-11T17:35:27+02:00
2026-04-13,2.219,2026-04-13T07:32:09+02:00
2026-04-14,2.219,2026-04-13T19:02:26+02:00
2026-04-15,2.129,2026-04-15T10:02:08+02:00
2026-04-16,2.129,2026-04-15T19:35:30+02:00
2026-04-17,2.099,2026-04-17T07:23:50+02:00
2026-04-18,2.349,2026-04-18T12:03:50+02:00
2026-04-19,2.059,2026-04-19T10:58:55+02:00
2026-04-20,2.349,2026-04-20T12:03:51+02:00
