date,price,last_update
2026-04-01,2.239,2026-04-01T12:05:33+02:00
2026-04-02,2.269,2026-04-02T12:06:54+02:00
2026-04-03,2.269,2026-04-03T12:04:54+02:00
2026-04-04,2.239,2026-04-04T12:04:54+02:00
2026-04-05,2.239,2026-04-05T12:07:49+02:00
2026-04-06,2.239,2026-04-06T12:06:59+02:00
2026-04-07,2.299,2026-04-07T12:07:20+02:00
2026-04-08,2.219,2026-04-08T12:05:15+02:00
2026-04-09,2.159,2026-04-09T12:07:09+02:00
2026-04-10,2.209,2026-04-10T12:05:22+02:00
2026-04-11,2.149,2026-04-11T12:04:20+02:00
2026-04-12,2.169,2026-04-12T12:05:23+02:00
2026-04-13,2.159,2026-04-13T12:05:20+02:00
2026-04-14,2.139,2026-04-14T12:05:39+02:00
2026-04-15,2.169,2026-04-15T12:05:34+02:00
