date,price,last_update
2026-04-01,2.769,2026-04-01T12:02:27+02:00
2026-04-02,2.749,2026-04-02T12:00:00+02:00
2026-04-03,2.789,2026-04-03T12:01:49+02:00
2026-04-04,2.789,2026-04-04T12:00:00+02:00
2026-04-05,2.789,2026-04-05T12:01:43+02:00
2026-04-06,2.789,2026-04-06T12:00:55+02:00
2026-04-07,2.789,2026-04-07T12:01:14+02:00
2026-04-08,2.789,2026-04-07T14:27:00+02:00
2026-04-09,2.789,2026-04-09T12:01:58+02:00
2026-04-10,2.629,2026-04-09T16:49:09+02:00
2026-04-11,2.599,2026-04-10T12:01:19+02:00
2026-04-14,2.629,2026-04-13T14:28:30+02:00
2026-04-15,2.669,2026-04-15T12:02:30+02:00
2026-04-16,2.589,2026-04-15T15:21:41+02:00
2026-04-17,2.579,2026-04-17T12:00:59+02:00
2026-04-18,2.579,2026-04-17T12:00:59+02:00
2026-04-19,2.579,2026-04-19T12:00:50+02:00
2026-04-20,2.469,2026-04-19T17:36:10+02:00
