date,price,last_update
2026-04-01,2.379,2026-04-01T12:02:27+02:00
2026-04-02,2.379,2026-04-02T12:01:46+02:00
2026-04-03,2.489,2026-04-03T12:17:24+02:00
2026-04-04,2.469,2026-04-04T12:17:11+02:00
2026-04-05,2.539,2026-04-05T12:09:50+02:00
2026-04-06,2.539,2026-04-06T12:19:10+02:00
2026-04-07,2.519,2026-04-07T12:10:22+02:00
2026-04-08,2.489,2026-04-08T12:10:21+02:00
2026-04-09,2.309,2026-04-09T09:09:49+02:00
2026-04-10,2.429,2026-04-10T12:02:20+02:00
2026-04-11,2.399,2026-04-11T12:03:19+02:00
2026-04-12,2.429,2026-04-12T12:07:25+02:00
2026-04-13,2.369,2026-04-13T12:02:16+02:00
