date,price,last_update
2026-04-01,2.599,2026-04-01T12:04:33+02:00
2026-04-02,2.549,2026-04-02T12:01:46+02:00
2026-04-03,2.559,2026-04-03T12:03:51+02:00
2026-04-04,2.649,2026-04-04T12:03:49+02:00
2026-04-05,2.669,2026-04-05T12:04:45+02:00
2026-04-06,2.649,2026-04-06T12:01:56+02:00
2026-04-07,2.609,2026-04-07T12:03:16+02:00
2026-04-08,2.389,2026-04-08T12:04:13+02:00
2026-04-09,2.299,2026-04-09T12:04:00+02:00
2026-04-10,2.279,2026-04-10T12:01:19+02:00
2026-04-11,2.289,2026-04-11T12:02:18+02:00
2026-04-12,2.309,2026-04-12T12:04:23+02:00
2026-04-13,2.279,2026-04-13T12:03:17+02:00
2026-04-14,2.279,2026-04-14T12:04:37+02:00
2026-04-15,2.259,2026-04-15T12:03:32+02:00
2026-04-16,2.249,2026-04-16T12:01:22+02:00
2026-04-17,2.249,2026-04-17T12:02:00+02:00
2026-04-18,2.229,2026-04-18T12:00:48+02:00
2026-04-19,2.239,2026-04-19T12:00:50+02:00
2026-04-20,2.259,2026-04-20T12:03:51+02:00
2026-04-21,2.229,2026-04-21T12:02:22+02:00
2026-04-22,2.249,2026-04-22T12:02:31+02:00
2026-04-23,2.189,2026-04-23T12:01:36+02:00
2026-04-24,2.239,2026-04-24T12:01:42+02:00
2026-04-25,2.239,2026-04-25T12:02:19+02:00
