date,price,last_update
2026-04-01,2.289,2026-04-01T12:00:00+02:00
2026-04-02,2.359,2026-04-02T11:59:37+02:00
2026-04-03,2.399,2026-04-03T12:11:02+02:00
2026-04-04,2.469,2026-04-04T12:11:04+02:00
2026-04-05,2.449,2026-04-05T12:16:54+02:00
2026-04-06,2.459,2026-04-06T12:12:05+02:00
2026-04-07,2.499,2026-04-07T12:12:25+02:00
2026-04-08,2.449,2026-04-08T12:11:24+02:00
2026-04-09,2.409,2026-04-09T12:11:16+02:00
2026-04-10,2.359,2026-04-10T12:10:27+02:00
2026-04-11,2.339,2026-04-11T12:12:27+02:00
2026-04-12,2.269,2026-04-12T11:29:44+02:00
2026-04-13,2.329,2026-04-13T12:10:26+02:00
2026-04-14,2.339,2026-04-14T12:10:45+02:00
2026-04-15,2.299,2026-04-15T12:12:42+02:00
2026-04-16,2.269,2026-04-16T12:11:33+02:00
2026-04-17,2.259,2026-04-17T12:11:15+02:00
2026-04-18,2.149,2026-04-18T10:54:44+02:00
2026-04-19,2.139,2026-04-19T07:55:57+02:00
2026-04-20,2.209,2026-04-20T12:10:58+02:00
2026-04-21,2.179,2026-04-21T12:11:29+02:00
2026-04-22,2.159,2026-04-22T12:11:38+02:00
2026-04-23,2.189,2026-04-23T12:05:40+02:00
2026-04-24,2.199,2026-04-24T12:10:50+02:00
2026-04-25,2.209,2026-04-25T12:10:25+02:00
2026-04-26,2.159,2026-04-25T21:40:23+02:00
2026-04-27,2.219,2026-04-27T12:04:48+02:00
2026-04-28,2.219,2026-04-28T12:12:11+02:00
2026-04-29,2.219,2026-04-29T12:10:37+02:00
2026-04-30,2.219,2026-04-30T12:11:39+02:00
2026-05-01,2.139,2026-05-01T12:11:44+02:00
2026-05-02,2.079,2026-05-02T12:12:04+02:00
2026-05-03,2.019,2026-05-02T18:43:25+02:00
2026-05-04,2.019,2026-05-04T11:41:43+02:00
