date,price,last_update
2026-04-01,2.229,2026-04-01T12:00:00+02:00
2026-04-02,2.269,2026-04-02T12:05:53+02:00
2026-04-03,2.249,2026-04-03T12:05:54+02:00
2026-04-04,2.249,2026-04-04T12:00:00+02:00
2026-04-05,2.249,2026-04-05T12:00:00+02:00
2026-04-06,2.249,2026-04-06T12:00:00+02:00
2026-04-08,2.219,2026-04-07T19:52:25+02:00
2026-04-09,2.189,2026-04-09T09:11:53+02:00
2026-04-10,2.209,2026-04-10T12:05:22+02:00
2026-04-11,2.229,2026-04-11T12:07:23+02:00
2026-04-12,2.229,2026-04-12T12:07:25+02:00
2026-04-13,2.199,2026-04-13T12:05:20+02:00
2026-04-14,2.229,2026-04-14T12:05:39+02:00
2026-04-15,2.219,2026-04-15T12:04:33+02:00
2026-04-16,2.159,2026-04-16T07:42:11+02:00
2026-04-17,2.149,2026-04-16T12:03:25+02:00
2026-04-18,2.179,2026-04-18T12:05:52+02:00
2026-04-19,2.189,2026-04-19T12:07:56+02:00
2026-04-20,2.189,2026-04-20T12:05:53+02:00
2026-04-21,2.189,2026-04-21T12:05:24+02:00
2026-04-22,2.189,2026-04-22T12:05:33+02:00
2026-04-23,2.209,2026-04-23T12:07:41+02:00
2026-04-24,2.249,2026-04-24T12:05:45+02:00
