date,price,last_update
2026-04-01,2.008,2026-04-01T12:00:00+02:00
2026-04-02,2.198,2026-04-02T11:56:32+02:00
2026-04-03,2.249,2026-04-03T12:09:00+02:00
2026-04-04,2.249,2026-04-04T11:59:45+02:00
2026-04-05,2.249,2026-04-05T11:59:42+02:00
2026-04-06,2.249,2026-04-06T11:58:54+02:00
2026-04-07,2.239,2026-04-07T12:07:20+02:00
2026-04-08,2.199,2026-04-08T12:08:19+02:00
2026-04-09,2.189,2026-04-09T12:07:09+02:00
2026-04-10,2.189,2026-04-10T12:05:22+02:00
2026-04-11,2.189,2026-04-11T12:07:23+02:00
2026-04-12,2.189,2026-04-12T12:07:25+02:00
2026-04-13,2.189,2026-04-13T12:14:32+02:00
2026-04-14,2.179,2026-04-14T12:11:48+02:00
2026-04-15,2.099,2026-04-15T12:04:33+02:00
2026-04-16,1.978,2026-04-15T17:27:10+02:00
2026-04-17,2.169,2026-04-17T12:11:15+02:00
2026-04-18,2.169,2026-04-18T12:07:53+02:00
2026-04-19,2.169,2026-04-19T12:07:56+02:00
2026-04-20,2.149,2026-04-20T12:03:51+02:00
2026-04-21,2.089,2026-04-21T12:05:24+02:00
2026-04-22,2.089,2026-04-22T12:09:36+02:00
2026-04-23,2.159,2026-04-23T12:00:35+02:00
2026-04-24,2.159,2026-04-24T12:00:42+02:00
2026-04-25,2.159,2026-04-25T12:01:17+02:00
2026-04-26,2.159,2026-04-26T12:00:53+02:00
2026-04-27,2.159,2026-04-27T12:01:45+02:00
2026-04-28,2.008,2026-04-28T12:00:58+02:00
2026-04-29,2.018,2026-04-29T12:00:28+02:00
2026-04-30,2.159,2026-04-30T12:02:32+02:00
2026-05-01,2.019,2026-05-01T12:03:18+02:00
2026-05-02,2.019,2026-05-02T12:02:20+02:00
2026-05-03,2.019,2026-05-03T12:02:30+02:00
2026-05-04,2.069,2026-05-04T12:02:54+02:00
2026-05-05,2.069,2026-05-05T12:02:47+02:00
2026-05-06,2.069,2026-05-06T12:03:48+02:00
2026-05-07,2.069,2026-05-07T12:03:02+02:00
