date,price,last_update
2026-04-01,2.449,2026-04-01T12:05:33+02:00
2026-04-02,2.369,2026-04-02T12:06:54+02:00
2026-04-03,2.449,2026-04-03T12:06:55+02:00
2026-04-04,2.519,2026-04-04T12:06:56+02:00
2026-04-05,2.519,2026-04-05T12:07:49+02:00
2026-04-06,2.519,2026-04-06T12:04:58+02:00
2026-04-07,2.459,2026-04-07T12:07:20+02:00
2026-04-08,2.459,2026-04-08T12:05:15+02:00
2026-04-09,2.459,2026-04-09T12:05:03+02:00
2026-04-10,2.369,2026-04-10T12:07:24+02:00
2026-04-11,2.369,2026-04-11T12:07:23+02:00
2026-04-12,2.369,2026-04-12T12:07:25+02:00
2026-04-13,2.369,2026-04-13T12:05:20+02:00
2026-04-14,2.369,2026-04-14T12:07:41+02:00
2026-04-15,2.349,2026-04-15T12:07:37+02:00
2026-04-16,2.349,2026-04-16T12:09:30+02:00
